<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
БестЭфБ ао;60;20170125;110000;32.3;43.8;32.3;43.8;5;0
БестЭфБ ао;60;20170125;150000;34.2;34.2;33;33;2;0
БестЭфБ ао;60;20170131;160000;32.4;33.1;32.2;33.1;6;0
БестЭфБ ао;60;20170201;120000;32.1;32.1;32.1;32.1;1;0
БестЭфБ ао;60;20170207;100000;32;32;32;32;1;0
БестЭфБ ао;60;20170208;100000;33.7;33.8;33.7;33.8;2;0
БестЭфБ ао;60;20170208;140000;33.9;33.9;33.9;33.9;1;0
БестЭфБ ао;60;20170215;130000;36;36;36;36;1;0
БестЭфБ ао;60;20170227;100000;28;28;28;28;3;0
БестЭфБ ао;60;20170227;110000;34;34;34;34;3;0
БестЭфБ ао;60;20170227;130000;33;33;33;33;1;0
БестЭфБ ао;60;20170228;120000;30;30;30;30;1;0
БестЭфБ ао;60;20170301;120000;34.5;34.5;34.5;34.5;1;0
БестЭфБ ао;60;20170313;120000;30;30;30;30;1;0
БестЭфБ ао;60;20170313;140000;27;27;27;27;1;0
БестЭфБ ао;60;20170324;130000;27;27;27;27;1;0
БестЭфБ ао;60;20170324;170000;31;31;31;31;1;0
БестЭфБ ао;60;20170330;110000;27;27;27;27;3;0
БестЭфБ ао;60;20170331;160000;27;27;24;24;2;0
БестЭфБ ао;60;20170404;170000;31;31;31;31;3;0
БестЭфБ ао;60;20170424;110000;33;33;33;33;1;0
БестЭфБ ао;60;20170512;100000;21.6;21.6;21.6;21.6;1;0
БестЭфБ ао;60;20170512;150000;30.3;30.3;30.3;30.3;1;0
БестЭфБ ао;60;20170522;180000;32;32;32;32;1;0
БестЭфБ ао;60;20170525;180000;21.6;21.6;21.6;21.6;1;0
БестЭфБ ао;60;20170616;120000;15.6;15.6;15.6;15.6;1;0
БестЭфБ ао;60;20170622;160000;13;13;13;13;1;0
БестЭфБ ао;60;20170626;150000;24.3;24.3;24.3;24.3;1;0
БестЭфБ ао;60;20170629;150000;26.5;26.5;26.5;26.5;1;0
БестЭфБ ао;60;20170630;170000;30;30;30;30;1;0
БестЭфБ ао;60;20170808;120000;30;32;21;30;6;0
БестЭфБ ао;60;20170810;120000;20.2;30.8;20.2;30.8;4;0
БестЭфБ ао;60;20170814;130000;21;31;21;31;4;0
БестЭфБ ао;60;20170814;160000;22;31;22;31;4;0
БестЭфБ ао;60;20170815;100000;20.2;31;20.2;31;4;0
БестЭфБ ао;60;20170818;100000;23.2;33;21.2;32.9;11;0
БестЭфБ ао;60;20170821;100000;31;32;31;32;2;0
БестЭфБ ао;60;20170822;100000;22.2;32.8;22.2;32.8;6;0
БестЭфБ ао;60;20170823;110000;23.2;32.5;23.2;32.5;6;0
БестЭфБ ао;60;20170824;130000;23.5;32.3;23.5;32.3;6;0
БестЭфБ ао;60;20170825;170000;24.2;32.2;24.2;32.2;4;0
БестЭфБ ао;60;20170828;100000;23.8;36;23.8;36;6;0
БестЭфБ ао;60;20170829;130000;25.7;34.6;25.7;34.6;7;0
БестЭфБ ао;60;20170830;100000;26.5;34.4;26.5;34.4;6;0
БестЭфБ ао;60;20170901;120000;27.1;27.1;27.1;27.1;2;0
БестЭфБ ао;60;20170901;130000;34;34;27.2;34;4;0
БестЭфБ ао;60;20170901;180000;34.2;34.2;34.2;34.2;1;0
БестЭфБ ао;60;20170904;120000;22.7;33.8;22.7;33.8;8;0
БестЭфБ ао;60;20170906;110000;23.3;33.7;23.3;33.7;4;0
БестЭфБ ао;60;20170906;160000;23.3;33.7;23.3;33.7;8;0
БестЭфБ ао;60;20170908;100000;33.6;33.6;33.6;33.6;4;0
БестЭфБ ао;60;20170911;100000;23.3;33.4;23.3;33.4;5;0
БестЭфБ ао;60;20170911;110000;33.4;33.4;33.4;33.4;1;0
БестЭфБ ао;60;20170912;130000;21.3;31.8;21.3;31.8;6;0
БестЭфБ ао;60;20170913;110000;21.5;33.5;21.5;33.5;8;0
БестЭфБ ао;60;20170914;140000;22;31.3;22;31.3;6;0
БестЭфБ ао;60;20170918;170000;22.4;31;22.4;31;6;0
БестЭфБ ао;60;20170918;180000;31;31;31;31;2;0
БестЭфБ ао;60;20170919;100000;22.6;30.8;22.6;30.8;10;0
БестЭфБ ао;60;20170922;130000;20;20;20;20;2;0
БестЭфБ ао;60;20170922;140000;31.8;31.8;31.8;31.8;2;0
БестЭфБ ао;60;20170922;180000;32;32;32;32;1;0
БестЭфБ ао;60;20170925;110000;23.8;33.8;23.8;33.8;11;0
БестЭфБ ао;60;20170926;180000;23.3;23.3;23.3;23.3;1;0
БестЭфБ ао;60;20170928;170000;27.7;27.7;27.7;27.7;1;0
БестЭфБ ао;60;20171004;120000;19.2;30.8;19.2;30.8;2;0
БестЭфБ ао;60;20171005;180000;21.7;21.7;21.7;21.7;1;0
БестЭфБ ао;60;20171009;100000;17.5;33.8;17.5;33.8;9;0
БестЭфБ ао;60;20171009;160000;31;31;31;31;1;0
БестЭфБ ао;60;20171010;100000;23.6;32.8;23.6;32.8;4;0
БестЭфБ ао;60;20171012;160000;25.2;31.8;25.2;31.8;4;0
БестЭфБ ао;60;20171013;100000;19.5;31.3;19.5;31.3;4;0
