<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ТамбЭнСб;60;20170124;120000;0.146;0.146;0.146;0.146;1;0
ТамбЭнСб;60;20170124;180000;0.1455;0.1455;0.1335;0.1365;27;0
ТамбЭнСб;60;20170125;100000;0.137;0.138;0.137;0.138;3;0
ТамбЭнСб;60;20170125;120000;0.138;0.138;0.138;0.138;2;0
ТамбЭнСб;60;20170125;170000;0.138;0.138;0.138;0.138;1;0
ТамбЭнСб;60;20170126;110000;0.1375;0.1385;0.1225;0.1355;24;0
ТамбЭнСб;60;20170126;160000;0.135;0.135;0.135;0.135;11;0
ТамбЭнСб;60;20170126;170000;0.1365;0.1375;0.1365;0.1375;4;0
ТамбЭнСб;60;20170127;120000;0.138;0.144;0.138;0.144;24;0
ТамбЭнСб;60;20170127;130000;0.144;0.144;0.13;0.1415;28;0
ТамбЭнСб;60;20170127;150000;0.141;0.141;0.1405;0.1405;2;0
ТамбЭнСб;60;20170130;100000;0.141;0.141;0.131;0.1395;5;0
ТамбЭнСб;60;20170130;170000;0.1405;0.1405;0.1385;0.1385;4;0
ТамбЭнСб;60;20170130;180000;0.1395;0.1395;0.1395;0.1395;1;0
ТамбЭнСб;60;20170131;100000;0.1385;0.1385;0.138;0.138;2;0
ТамбЭнСб;60;20170131;110000;0.138;0.138;0.138;0.138;1;0
ТамбЭнСб;60;20170131;160000;0.138;0.138;0.138;0.138;1;0
ТамбЭнСб;60;20170202;170000;0.138;0.138;0.138;0.138;1;0
ТамбЭнСб;60;20170203;140000;0.1375;0.1375;0.1365;0.1365;4;0
ТамбЭнСб;60;20170208;130000;0.138;0.138;0.138;0.138;1;0
ТамбЭнСб;60;20170210;100000;0.134;0.134;0.134;0.134;1;0
ТамбЭнСб;60;20170213;120000;0.138;0.138;0.138;0.138;1;0
ТамбЭнСб;60;20170220;150000;0.1365;0.1365;0.1365;0.1365;1;0
ТамбЭнСб;60;20170221;140000;0.136;0.136;0.136;0.136;1;0
ТамбЭнСб;60;20170221;150000;0.1355;0.1355;0.1355;0.1355;1;0
ТамбЭнСб;60;20170222;160000;0.135;0.135;0.135;0.135;1;0
ТамбЭнСб;60;20170227;100000;0.1345;0.1345;0.1345;0.1345;1;0
ТамбЭнСб;60;20170227;120000;0.134;0.134;0.1335;0.1335;2;0
ТамбЭнСб;60;20170227;180000;0.131;0.131;0.131;0.131;1;0
ТамбЭнСб;60;20170228;170000;0.122;0.122;0.121;0.121;13;0
ТамбЭнСб;60;20170228;180000;0.124;0.124;0.124;0.124;3;0
ТамбЭнСб;60;20170302;110000;0.127;0.1325;0.127;0.1325;2;0
ТамбЭнСб;60;20170302;130000;0.132;0.132;0.132;0.132;1;0
ТамбЭнСб;60;20170303;120000;0.1205;0.122;0.1205;0.122;6;0
ТамбЭнСб;60;20170303;150000;0.13;0.13;0.1215;0.1215;2;0
ТамбЭнСб;60;20170303;170000;0.121;0.121;0.121;0.121;1;0
ТамбЭнСб;60;20170303;180000;0.125;0.125;0.125;0.125;1;0
ТамбЭнСб;60;20170309;140000;0.12;0.12;0.12;0.12;1;0
ТамбЭнСб;60;20170309;150000;0.12;0.12;0.12;0.12;1;0
ТамбЭнСб;60;20170309;170000;0.12;0.12;0.12;0.12;1;0
ТамбЭнСб;60;20170315;120000;0.126;0.126;0.126;0.126;1;0
ТамбЭнСб;60;20170315;180000;0.1335;0.1355;0.1335;0.1355;11;0
ТамбЭнСб;60;20170316;160000;0.1235;0.1235;0.122;0.122;11;0
ТамбЭнСб;60;20170317;100000;0.125;0.133;0.125;0.133;2;0
ТамбЭнСб;60;20170317;120000;0.133;0.133;0.133;0.133;1;0
ТамбЭнСб;60;20170317;180000;0.134;0.134;0.134;0.134;10;0
ТамбЭнСб;60;20170320;100000;0.1255;0.1255;0.1255;0.1255;1;0
ТамбЭнСб;60;20170320;130000;0.1265;0.1265;0.1265;0.1265;1;0
ТамбЭнСб;60;20170322;140000;0.133;0.133;0.133;0.133;1;0
ТамбЭнСб;60;20170322;170000;0.133;0.133;0.133;0.133;4;0
ТамбЭнСб;60;20170322;180000;0.133;0.133;0.133;0.133;6;0
ТамбЭнСб;60;20170323;160000;0.135;0.135;0.135;0.135;1;0
ТамбЭнСб;60;20170324;110000;0.129;0.131;0.129;0.131;2;0
ТамбЭнСб;60;20170324;120000;0.133;0.137;0.133;0.137;3;0
ТамбЭнСб;60;20170324;130000;0.138;0.187;0.135;0.181;392;0
ТамбЭнСб;60;20170324;140000;0.179;0.1885;0.17;0.1885;215;0
ТамбЭнСб;60;20170324;150000;0.185;0.1885;0.185;0.1885;60;0
ТамбЭнСб;60;20170324;160000;0.1885;0.1885;0.1885;0.1885;14;0
ТамбЭнСб;60;20170324;170000;0.1885;0.1885;0.1885;0.1885;2;0
ТамбЭнСб;60;20170324;180000;0.1885;0.1885;0.1885;0.1885;3;0
ТамбЭнСб;60;20170327;090000;0.1975;0.1975;0.1975;0.1975;6;0
ТамбЭнСб;60;20170327;100000;0.19;0.2175;0.1875;0.2175;284;0
ТамбЭнСб;60;20170327;110000;0.219;0.248;0.195;0.2035;497;0
ТамбЭнСб;60;20170327;120000;0.203;0.2155;0.1835;0.2075;108;0
ТамбЭнСб;60;20170327;130000;0.2055;0.2055;0.1835;0.1895;143;0
ТамбЭнСб;60;20170327;140000;0.1875;0.2465;0.1875;0.224;594;0
ТамбЭнСб;60;20170327;150000;0.2225;0.2495;0.2135;0.2155;265;0
ТамбЭнСб;60;20170327;160000;0.2175;0.2265;0.205;0.214;129;0
ТамбЭнСб;60;20170327;170000;0.2155;0.26;0.2145;0.2255;711;0
ТамбЭнСб;60;20170327;180000;0.226;0.2315;0.1715;0.1765;361;0
ТамбЭнСб;60;20170328;090000;0.178;0.178;0.178;0.178;1;0
ТамбЭнСб;60;20170328;100000;0.18;0.195;0.172;0.1795;102;0
ТамбЭнСб;60;20170328;110000;0.176;0.1765;0.157;0.162;62;0
ТамбЭнСб;60;20170328;120000;0.1605;0.18;0.153;0.178;215;0
ТамбЭнСб;60;20170328;130000;0.1795;0.193;0.169;0.193;283;0
ТамбЭнСб;60;20170328;140000;0.193;0.2085;0.181;0.201;103;0
ТамбЭнСб;60;20170328;150000;0.201;0.231;0.192;0.227;281;0
ТамбЭнСб;60;20170328;160000;0.218;0.2235;0.179;0.185;507;0
ТамбЭнСб;60;20170328;170000;0.182;0.186;0.17;0.178;156;0
ТамбЭнСб;60;20170328;180000;0.1785;0.181;0.173;0.175;87;0
ТамбЭнСб;60;20170329;100000;0.173;0.1775;0.121;0.162;279;0
ТамбЭнСб;60;20170329;110000;0.1625;0.1665;0.159;0.1625;31;0
ТамбЭнСб;60;20170329;120000;0.161;0.161;0.15;0.1525;95;0
ТамбЭнСб;60;20170329;130000;0.151;0.164;0.15;0.155;135;0
ТамбЭнСб;60;20170329;140000;0.1565;0.159;0.1535;0.1565;26;0
ТамбЭнСб;60;20170329;150000;0.1545;0.1545;0.15;0.15;14;0
ТамбЭнСб;60;20170329;160000;0.1525;0.161;0.1525;0.1585;35;0
ТамбЭнСб;60;20170329;170000;0.1575;0.178;0.1575;0.1685;172;0
ТамбЭнСб;60;20170329;180000;0.1665;0.1765;0.1605;0.168;90;0
ТамбЭнСб;60;20170330;100000;0.1685;0.1785;0.1625;0.1665;88;0
ТамбЭнСб;60;20170330;110000;0.165;0.1755;0.1625;0.166;70;0
ТамбЭнСб;60;20170330;120000;0.163;0.164;0.1605;0.1605;11;0
ТамбЭнСб;60;20170330;130000;0.16;0.166;0.16;0.1605;8;0
ТамбЭнСб;60;20170330;140000;0.1595;0.1625;0.155;0.1585;104;0
ТамбЭнСб;60;20170330;150000;0.1565;0.1565;0.155;0.155;3;0
ТамбЭнСб;60;20170330;160000;0.158;0.1615;0.1565;0.1585;17;0
ТамбЭнСб;60;20170330;170000;0.1605;0.1655;0.156;0.159;99;0
ТамбЭнСб;60;20170330;180000;0.1585;0.16;0.153;0.159;40;0
ТамбЭнСб;60;20170331;100000;0.1605;0.174;0.1605;0.1665;191;0
ТамбЭнСб;60;20170331;110000;0.1685;0.1685;0.1645;0.165;19;0
ТамбЭнСб;60;20170331;120000;0.1665;0.1725;0.1625;0.171;94;0
ТамбЭнСб;60;20170331;130000;0.172;0.1725;0.1685;0.1685;14;0
ТамбЭнСб;60;20170331;140000;0.168;0.1705;0.165;0.1695;80;0
ТамбЭнСб;60;20170331;150000;0.1685;0.1695;0.166;0.1695;12;0
ТамбЭнСб;60;20170331;160000;0.1695;0.172;0.1695;0.1705;15;0
ТамбЭнСб;60;20170331;170000;0.171;0.173;0.169;0.17;76;0
ТамбЭнСб;60;20170331;180000;0.17;0.18;0.1685;0.1785;158;0
ТамбЭнСб;60;20170403;090000;0.1785;0.1785;0.1785;0.1785;2;0
ТамбЭнСб;60;20170403;100000;0.1805;0.189;0.172;0.1815;70;0
ТамбЭнСб;60;20170403;110000;0.181;0.188;0.1745;0.188;76;0
ТамбЭнСб;60;20170403;120000;0.1885;0.2125;0.1865;0.2085;627;0
ТамбЭнСб;60;20170403;130000;0.2065;0.236;0.1935;0.2335;337;0
ТамбЭнСб;60;20170403;140000;0.2205;0.246;0.203;0.246;361;0
ТамбЭнСб;60;20170403;150000;0.246;0.2465;0.2375;0.246;375;0
ТамбЭнСб;60;20170403;160000;0.2385;0.2465;0.232;0.2465;226;0
ТамбЭнСб;60;20170403;170000;0.2465;0.2465;0.242;0.246;74;0
ТамбЭнСб;60;20170403;180000;0.241;0.245;0.219;0.219;72;0
ТамбЭнСб;60;20170404;100000;0.2215;0.2395;0.2125;0.2325;266;0
ТамбЭнСб;60;20170404;110000;0.225;0.225;0.182;0.1965;355;0
ТамбЭнСб;60;20170404;120000;0.194;0.216;0.1925;0.207;359;0
ТамбЭнСб;60;20170404;130000;0.2065;0.2065;0.2;0.2;25;0
ТамбЭнСб;60;20170404;140000;0.2005;0.2005;0.193;0.195;30;0
ТамбЭнСб;60;20170404;150000;0.196;0.2;0.192;0.1945;41;0
ТамбЭнСб;60;20170404;160000;0.195;0.204;0.195;0.1985;52;0
ТамбЭнСб;60;20170404;170000;0.2005;0.214;0.187;0.201;102;0
ТамбЭнСб;60;20170404;180000;0.201;0.204;0.1875;0.191;60;0
ТамбЭнСб;60;20170405;100000;0.192;0.243;0.192;0.228;302;0
ТамбЭнСб;60;20170405;110000;0.225;0.234;0.2175;0.23;53;0
ТамбЭнСб;60;20170405;120000;0.2215;0.2275;0.2175;0.226;41;0
ТамбЭнСб;60;20170405;130000;0.2165;0.2255;0.2125;0.225;25;0
ТамбЭнСб;60;20170405;140000;0.218;0.218;0.218;0.218;2;0
ТамбЭнСб;60;20170405;160000;0.22;0.222;0.196;0.1995;686;0
ТамбЭнСб;60;20170405;170000;0.1995;0.2055;0.1995;0.2045;23;0
ТамбЭнСб;60;20170405;180000;0.2;0.201;0.195;0.199;77;0
ТамбЭнСб;60;20170406;100000;0.2085;0.2095;0.185;0.1985;115;0
ТамбЭнСб;60;20170406;110000;0.1905;0.1985;0.19;0.19;47;0
ТамбЭнСб;60;20170406;120000;0.195;0.195;0.186;0.1895;18;0
ТамбЭнСб;60;20170406;130000;0.187;0.19;0.185;0.19;205;0
ТамбЭнСб;60;20170406;140000;0.19;0.19;0.19;0.19;1;0
ТамбЭнСб;60;20170406;150000;0.192;0.199;0.192;0.1935;92;0
ТамбЭнСб;60;20170406;160000;0.1935;0.1935;0.188;0.188;27;0
ТамбЭнСб;60;20170406;170000;0.188;0.191;0.187;0.1905;18;0
ТамбЭнСб;60;20170406;180000;0.1915;0.195;0.1915;0.194;33;0
ТамбЭнСб;60;20170407;100000;0.1995;0.209;0.194;0.194;54;0
ТамбЭнСб;60;20170407;110000;0.192;0.192;0.1915;0.1915;4;0
ТамбЭнСб;60;20170407;120000;0.1915;0.1915;0.188;0.19;45;0
ТамбЭнСб;60;20170407;130000;0.192;0.192;0.192;0.192;1;0
ТамбЭнСб;60;20170407;140000;0.1895;0.1905;0.1875;0.1905;6;0
ТамбЭнСб;60;20170407;150000;0.19;0.1905;0.188;0.188;27;0
ТамбЭнСб;60;20170407;160000;0.188;0.188;0.176;0.188;54;0
ТамбЭнСб;60;20170407;180000;0.177;0.19;0.177;0.19;3;0
ТамбЭнСб;60;20170410;100000;0.1835;0.184;0.162;0.166;34;0
ТамбЭнСб;60;20170410;110000;0.174;0.174;0.1635;0.17;15;0
ТамбЭнСб;60;20170410;120000;0.1625;0.1655;0.148;0.157;391;0
ТамбЭнСб;60;20170410;130000;0.157;0.157;0.155;0.155;15;0
ТамбЭнСб;60;20170410;140000;0.156;0.156;0.156;0.156;1;0
ТамбЭнСб;60;20170410;160000;0.161;0.174;0.161;0.1695;28;0
ТамбЭнСб;60;20170410;170000;0.162;0.162;0.162;0.162;1;0
ТамбЭнСб;60;20170410;180000;0.1625;0.1665;0.16;0.16;17;0
ТамбЭнСб;60;20170411;100000;0.166;0.168;0.156;0.156;20;0
ТамбЭнСб;60;20170411;110000;0.159;0.159;0.152;0.152;16;0
ТамбЭнСб;60;20170411;120000;0.1555;0.1605;0.1555;0.16;7;0
