<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
iЗПИФФинИТ;60;20170124;150000;592;592;592;592;40;0
iЗПИФФинИТ;60;20170125;110000;592;592;592;592;240;0
iЗПИФФинИТ;60;20170126;110000;592;592;592;592;125;0
iЗПИФФинИТ;60;20170127;110000;592;592;592;592;100;0
iЗПИФФинИТ;60;20170130;120000;592;592;592;592;400;0
iЗПИФФинИТ;60;20170131;140000;592;592;592;592;440;0
iЗПИФФинИТ;60;20170220;150000;592;592;592;592;1;0
iЗПИФФинИТ;60;20170303;110000;592;592;592;592;1;0
iЗПИФФинИТ;60;20170306;120000;592;592;592;592;1;0
iЗПИФФинИТ;60;20170307;180000;587;587;587;587;1;0
iЗПИФФинИТ;60;20170317;110000;600;600;600;600;1;0
iЗПИФФинИТ;60;20170404;110000;592;592;592;592;1;0
iЗПИФФинИТ;60;20170424;110000;592;592;590;590;2;0
iЗПИФФинИТ;60;20170427;130000;587;587;587;587;20;0
iЗПИФФинИТ;60;20170510;130000;587;587;587;587;20;0
iЗПИФФинИТ;60;20170515;110000;587;587;587;587;20;0
iЗПИФФинИТ;60;20170517;110000;587;587;587;587;20;0
iЗПИФФинИТ;60;20170517;150000;587;587;587;587;18;0
iЗПИФФинИТ;60;20170524;100000;587;587;587;587;28;0
iЗПИФФинИТ;60;20170526;130000;587;587;587;587;15;0
iЗПИФФинИТ;60;20170526;140000;587;587;587;587;35;0
iЗПИФФинИТ;60;20170529;120000;587;587;587;587;15;0
iЗПИФФинИТ;60;20170529;150000;587;587;587;587;35;0
iЗПИФФинИТ;60;20170530;140000;587;587;587;587;50;0
iЗПИФФинИТ;60;20170601;170000;587;587;587;587;1;0
iЗПИФФинИТ;60;20170614;170000;587;587;587;587;10;0
iЗПИФФинИТ;60;20170629;130000;587;587;587;587;80;0
iЗПИФФинИТ;60;20170707;180000;586;586;586;586;11;0
iЗПИФФинИТ;60;20170721;170000;586;586;586;586;50;0
iЗПИФФинИТ;60;20170807;120000;586;586;586;586;10;0
iЗПИФФинИТ;60;20170818;180000;586;586;586;586;50;0
iЗПИФФинИТ;60;20170831;110000;585;585;585;585;10;0
iЗПИФФинИТ;60;20170901;160000;585;585;585;585;1;0
iЗПИФФинИТ;60;20170905;140000;585;585;585;585;10;0
iЗПИФФинИТ;60;20170921;140000;587;587;585;585;10;0
iЗПИФФинИТ;60;20171010;150000;590;590;590;590;10;0
iЗПИФФинИТ;60;20171013;180000;521;521;521;521;1;0
iЗПИФФинИТ;60;20171017;100000;585;585;585;585;30;0
iЗПИФФинИТ;60;20171018;100000;585;585;585;585;11;0
iЗПИФФинИТ;60;20171019;170000;521;521;521;521;1;0
iЗПИФФинИТ;60;20171019;180000;585;585;585;585;2;0
iЗПИФФинИТ;60;20171103;160000;521;585;521;585;2;0
iЗПИФФинИТ;60;20171107;170000;585;585;585;585;10;0
iЗПИФФинИТ;60;20171110;140000;585;585;585;585;7;0
iЗПИФФинИТ;60;20171116;150000;595;595;595;595;1;0
iЗПИФФинИТ;60;20171117;140000;595;595;585;585;2;0
iЗПИФФинИТ;60;20171124;160000;585;585;585;585;1;0
iЗПИФФинИТ;60;20171211;100000;585;585;585;585;30;0
iЗПИФФинИТ;60;20171214;130000;585;585;585;585;20;0
iЗПИФФинИТ;60;20171214;150000;559;559;559;559;3;0
iЗПИФФинИТ;60;20171214;170000;559;559;544;547;15;0
iЗПИФФинИТ;60;20171214;180000;544;544;544;544;1;0
iЗПИФФинИТ;60;20171218;180000;558;558;558;558;1;0
iЗПИФФинИТ;60;20171219;140000;543;543;543;543;5;0
iЗПИФФинИТ;60;20171220;100000;537;537;537;537;1;0
iЗПИФФинИТ;60;20171222;180000;537;537;537;537;1;0
iЗПИФФинИТ;60;20171227;100000;509;509;509;509;4;0
iЗПИФФинИТ;60;20171227;150000;500;509;500;509;4;0
iЗПИФФинИТ;60;20171227;170000;517;517;517;517;1;0
iЗПИФФинИТ;60;20171228;100000;517;517;517;517;1;0
iЗПИФФинИТ;60;20171228;170000;517;517;517;517;1;0
