<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЯТЭК ао;60;20170124;130000;16.2;16.2;16.2;16.2;1;0
ЯТЭК ао;60;20170125;160000;15.9;15.9;15.9;15.9;7;0
ЯТЭК ао;60;20170125;180000;16;16;16;16;4;0
ЯТЭК ао;60;20170126;100000;16.1;16.1;16.1;16.1;1;0
ЯТЭК ао;60;20170127;100000;16.1;16.1;16.1;16.1;2;0
ЯТЭК ао;60;20170127;140000;16.2;16.2;16.2;16.2;2;0
ЯТЭК ао;60;20170130;160000;15.7;15.7;15.7;15.7;1;0
ЯТЭК ао;60;20170131;130000;16.1;16.1;16.1;16.1;1;0
ЯТЭК ао;60;20170131;140000;16.1;16.1;16.1;16.1;1;0
ЯТЭК ао;60;20170131;160000;15.8;15.8;15.8;15.8;11;0
ЯТЭК ао;60;20170203;100000;16.3;16.3;16.3;16.3;1;0
ЯТЭК ао;60;20170203;130000;16.2;16.5;16.2;16.5;104;0
ЯТЭК ао;60;20170206;120000;16.9;16.9;16.9;16.9;14;0
ЯТЭК ао;60;20170206;140000;15.9;15.9;15.9;15.9;6;0
ЯТЭК ао;60;20170206;170000;16.3;16.3;16.3;16.3;2;0
ЯТЭК ао;60;20170208;110000;16.3;16.3;16.3;16.3;1;0
ЯТЭК ао;60;20170208;140000;16.3;16.3;16.3;16.3;2;0
ЯТЭК ао;60;20170210;160000;15.9;15.9;15.9;15.9;1;0
ЯТЭК ао;60;20170214;180000;15.7;15.7;15.7;15.7;2;0
ЯТЭК ао;60;20170215;110000;15.6;15.6;15;15.5;93;0
ЯТЭК ао;60;20170216;100000;15.2;15.3;15.2;15.2;11;0
ЯТЭК ао;60;20170217;110000;15.2;15.3;15.1;15.3;7;0
ЯТЭК ао;60;20170217;150000;15.4;15.4;15.4;15.4;4;0
ЯТЭК ао;60;20170220;110000;15.1;15.3;15.1;15.3;6;0
ЯТЭК ао;60;20170220;120000;15.3;15.3;15.3;15.3;1;0
ЯТЭК ао;60;20170220;160000;15.2;15.3;15;15.3;10;0
ЯТЭК ао;60;20170220;170000;15.1;15.1;15;15;13;0
ЯТЭК ао;60;20170220;180000;15.3;15.3;15.3;15.3;2;0
ЯТЭК ао;60;20170221;100000;15.1;15.1;15;15;4;0
ЯТЭК ао;60;20170221;110000;15.1;15.1;15;15;10;0
ЯТЭК ао;60;20170221;170000;15;15;15;15;15;0
ЯТЭК ао;60;20170222;100000;15.1;15.1;15;15;2;0
ЯТЭК ао;60;20170222;120000;15;15;15;15;5;0
ЯТЭК ао;60;20170222;140000;15;15;15;15;3;0
ЯТЭК ао;60;20170222;150000;15;15;15;15;2;0
ЯТЭК ао;60;20170222;170000;15.1;15.1;15;15;16;0
ЯТЭК ао;60;20170224;160000;15;15;15;15;6;0
ЯТЭК ао;60;20170228;170000;14.5;14.5;14.5;14.5;4;0
ЯТЭК ао;60;20170228;180000;14.6;14.6;14.6;14.6;3;0
ЯТЭК ао;60;20170301;100000;14.3;14.4;14.3;14.4;4;0
ЯТЭК ао;60;20170302;100000;14.5;14.5;14.5;14.5;5;0
ЯТЭК ао;60;20170302;120000;15.4;15.6;15.4;15.6;21;0
ЯТЭК ао;60;20170302;130000;15.6;15.6;15.6;15.6;2;0
ЯТЭК ао;60;20170302;170000;15.5;15.5;15.5;15.5;12;0
ЯТЭК ао;60;20170302;180000;15.5;15.5;15.5;15.5;9;0
ЯТЭК ао;60;20170309;170000;14.8;14.8;14.8;14.8;1;0
ЯТЭК ао;60;20170309;180000;14.8;14.8;14.7;14.7;11;0
ЯТЭК ао;60;20170310;100000;14.1;14.1;14.1;14.1;1;0
ЯТЭК ао;60;20170310;110000;15.2;15.2;14;14;14;0
ЯТЭК ао;60;20170310;120000;14.2;14.8;14.1;14.7;17;0
ЯТЭК ао;60;20170310;130000;14.7;14.7;14.7;14.7;1;0
ЯТЭК ао;60;20170310;150000;14.7;14.7;14.7;14.7;1;0
ЯТЭК ао;60;20170310;170000;14.5;14.5;14.5;14.5;1;0
ЯТЭК ао;60;20170310;180000;14.5;14.5;14.4;14.4;8;0
ЯТЭК ао;60;20170313;170000;14;14;14;14;1;0
ЯТЭК ао;60;20170314;130000;14;14;14;14;3;0
ЯТЭК ао;60;20170315;120000;13.6;13.6;13.6;13.6;1;0
ЯТЭК ао;60;20170316;150000;14.9;14.9;14.9;14.9;1;0
ЯТЭК ао;60;20170320;160000;15.1;15.2;15.1;15.2;2;0
ЯТЭК ао;60;20170321;150000;14.2;14.2;14.1;14.1;2;0
ЯТЭК ао;60;20170323;120000;14.8;14.8;14.8;14.8;1;0
ЯТЭК ао;60;20170327;160000;14.9;14.9;14.9;14.9;38;0
ЯТЭК ао;60;20170328;100000;13.1;14.8;13.1;14.8;23;0
ЯТЭК ао;60;20170329;120000;14.4;14.4;14.4;14.4;1;0
ЯТЭК ао;60;20170329;150000;14.6;14.6;14.6;14.6;16;0
ЯТЭК ао;60;20170330;160000;15.3;15.3;15.3;15.3;2;0
ЯТЭК ао;60;20170403;180000;15.3;15.3;15.3;15.3;1;0
ЯТЭК ао;60;20170406;180000;14.5;14.5;14.4;14.4;12;0
ЯТЭК ао;60;20170407;160000;15.1;15.4;15.1;15.4;6;0
ЯТЭК ао;60;20170413;110000;14.1;15;14;15;53;0
ЯТЭК ао;60;20170417;140000;15;15.6;15;15.6;5;0
ЯТЭК ао;60;20170417;170000;15;15;15;15;10;0
ЯТЭК ао;60;20170421;180000;13.9;13.9;13.9;13.9;10;0
ЯТЭК ао;60;20170424;130000;14.2;14.2;14.2;14.2;3;0
ЯТЭК ао;60;20170424;170000;15;15;15;15;3;0
ЯТЭК ао;60;20170426;110000;15.4;15.4;15.4;15.4;6;0
ЯТЭК ао;60;20170426;160000;15;15.1;15;15.1;2;0
ЯТЭК ао;60;20170426;170000;15;15;15;15;2;0
ЯТЭК ао;60;20170426;180000;15;15;15;15;1;0
ЯТЭК ао;60;20170427;100000;15.6;15.7;15.6;15.7;3;0
ЯТЭК ао;60;20170427;150000;14.5;14.5;14.5;14.5;2;0
ЯТЭК ао;60;20170502;110000;14.3;14.4;14.3;14.4;2;0
ЯТЭК ао;60;20170502;180000;15.1;15.1;15.1;15.1;1;0
ЯТЭК ао;60;20170504;180000;15;15;15;15;1;0
ЯТЭК ао;60;20170505;160000;14.4;14.4;14.4;14.4;3;0
ЯТЭК ао;60;20170510;120000;15.1;15.1;15.1;15.1;1;0
ЯТЭК ао;60;20170510;140000;15;15;15;15;6;0
ЯТЭК ао;60;20170510;150000;15;15;15;15;1;0
ЯТЭК ао;60;20170510;160000;15;15;14.8;14.8;3;0
ЯТЭК ао;60;20170511;100000;14.4;14.4;14;14;7;0
ЯТЭК ао;60;20170512;130000;14.9;14.9;14.9;14.9;1;0
ЯТЭК ао;60;20170512;180000;14.9;14.9;14.9;14.9;1;0
ЯТЭК ао;60;20170515;120000;14.9;14.9;14.9;14.9;1;0
ЯТЭК ао;60;20170515;170000;14.8;14.8;14.8;14.8;1;0
ЯТЭК ао;60;20170516;100000;13.8;14.7;13.7;14.7;134;0
ЯТЭК ао;60;20170517;130000;14.8;14.8;14.8;14.8;1;0
ЯТЭК ао;60;20170522;170000;14;14;14;14;2;0
ЯТЭК ао;60;20170524;150000;14.1;14.1;14;14;14;0
ЯТЭК ао;60;20170524;160000;14;14;14;14;21;0
ЯТЭК ао;60;20170525;100000;13.4;13.4;13.4;13.4;1;0
ЯТЭК ао;60;20170602;150000;13.3;13.3;12.8;12.9;89;0
ЯТЭК ао;60;20170602;160000;12.9;12.9;12.8;12.9;177;0
ЯТЭК ао;60;20170602;170000;12.7;12.7;12.5;12.5;46;0
ЯТЭК ао;60;20170607;180000;12.8;12.8;12.8;12.8;34;0
ЯТЭК ао;60;20170608;160000;13.5;13.5;13.5;13.5;1;0
ЯТЭК ао;60;20170615;110000;13.5;13.5;13.5;13.5;3;0
ЯТЭК ао;60;20170619;110000;12.1;12.8;11.6;12.8;42;0
ЯТЭК ао;60;20170620;100000;14.1;14.1;13;13;2;0
ЯТЭК ао;60;20170620;160000;12.2;12.2;12.1;12.1;7;0
ЯТЭК ао;60;20170620;170000;12.1;12.1;12.1;12.1;1;0
ЯТЭК ао;60;20170620;180000;12.1;12.1;12.1;12.1;20;0
ЯТЭК ао;60;20170621;140000;11.6;11.6;11.6;11.6;1;0
ЯТЭК ао;60;20170621;180000;12.4;12.5;12.4;12.5;5;0
ЯТЭК ао;60;20170622;170000;12.3;12.3;12.3;12.3;8;0
ЯТЭК ао;60;20170623;130000;12;12;11.9;11.9;165;0
ЯТЭК ао;60;20170630;130000;12.7;12.7;12.7;12.7;1;0
ЯТЭК ао;60;20170703;100000;13.5;13.6;13.5;13.6;5;0
ЯТЭК ао;60;20170703;110000;12;12;12;12;1;0
ЯТЭК ао;60;20170703;160000;13.2;13.6;13.2;13.6;10;0
ЯТЭК ао;60;20170704;180000;12.2;13.5;12.2;13.5;40;0
ЯТЭК ао;60;20170705;100000;12.1;12.2;11.4;11.7;43;0
ЯТЭК ао;60;20170705;180000;12.1;12.1;12.1;12.1;1;0
ЯТЭК ао;60;20170707;180000;12.5;12.7;12.5;12.7;5;0
ЯТЭК ао;60;20170710;110000;12.4;13.1;12.4;13.1;10;0
ЯТЭК ао;60;20170710;130000;12.1;12.1;12.1;12.1;3;0
ЯТЭК ао;60;20170710;140000;12.1;12.5;12;12;42;0
ЯТЭК ао;60;20170710;150000;12;12.4;11.6;12.4;34;0
ЯТЭК ао;60;20170710;170000;12;12;11.8;11.8;12;0
ЯТЭК ао;60;20170711;140000;12.2;12.3;12.2;12.3;10;0
ЯТЭК ао;60;20170712;120000;12.7;12.8;11.6;11.6;22;0
ЯТЭК ао;60;20170712;140000;12;12;12;12;5;0
ЯТЭК ао;60;20170713;110000;11.8;12.2;10.9;11;103;0
ЯТЭК ао;60;20170713;120000;11;11;10.9;10.9;17;0
