<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СаратНПЗ;60;20170126;130000;8800;8800;8800;8800;1;0
СаратНПЗ;60;20170209;180000;9000;9000;9000;9000;1;0
СаратНПЗ;60;20170213;100000;9200;9300;9200;9300;2;0
СаратНПЗ;60;20170216;150000;9400;9400;9400;9400;1;0
СаратНПЗ;60;20170216;170000;9400;9400;9400;9400;1;0
СаратНПЗ;60;20170220;150000;9150;9150;9100;9100;3;0
СаратНПЗ;60;20170303;140000;9100;9100;9100;9100;1;0
СаратНПЗ;60;20170303;160000;9150;9150;9150;9150;1;0
СаратНПЗ;60;20170303;170000;9150;9150;9100;9100;2;0
СаратНПЗ;60;20170306;150000;9300;9300;9300;9300;1;0
СаратНПЗ;60;20170310;110000;9050;9050;9050;9050;1;0
СаратНПЗ;60;20170313;120000;8800;8800;8800;8800;1;0
СаратНПЗ;60;20170314;090000;8500;8500;8500;8500;1;0
СаратНПЗ;60;20170314;100000;8600;8600;8600;8600;1;0
СаратНПЗ;60;20170317;110000;9200;9200;9200;9200;1;0
СаратНПЗ;60;20170328;170000;9000;9000;9000;9000;1;0
СаратНПЗ;60;20170410;120000;9150;9150;9150;9150;1;0
СаратНПЗ;60;20170427;110000;9250;9600;9250;9600;2;0
СаратНПЗ;60;20170427;120000;9500;9500;9500;9500;2;0
СаратНПЗ;60;20170516;170000;9050;9050;9050;9050;1;0
СаратНПЗ;60;20170519;150000;9200;9200;8950;8950;2;0
СаратНПЗ;60;20170519;170000;9100;9100;9100;9100;3;0
СаратНПЗ;60;20170522;100000;9700;10250;9700;10000;3;0
СаратНПЗ;60;20170522;160000;9150;9150;9100;9100;6;0
СаратНПЗ;60;20170522;180000;9100;9850;9100;9850;26;0
СаратНПЗ;60;20170524;100000;9900;9950;9900;9950;2;0
СаратНПЗ;60;20170525;120000;8200;8200;8200;8200;2;0
СаратНПЗ;60;20170525;140000;9400;9400;9400;9400;1;0
СаратНПЗ;60;20170525;180000;9400;9400;9400;9400;1;0
СаратНПЗ;60;20170526;130000;8750;9500;8750;9500;3;0
СаратНПЗ;60;20170602;140000;8750;8750;8600;8600;3;0
СаратНПЗ;60;20170609;150000;8900;8900;8650;8650;2;0
СаратНПЗ;60;20170609;180000;8800;8800;8800;8800;163;0
СаратНПЗ;60;20170629;110000;8750;8750;8750;8750;1;0
СаратНПЗ;60;20170703;100000;8900;8900;8900;8900;1;0
СаратНПЗ;60;20170704;160000;8850;8850;8850;8850;1;0
СаратНПЗ;60;20170706;150000;9000;9400;8750;8750;10;0
СаратНПЗ;60;20170707;100000;8200;8550;8200;8350;7;0
СаратНПЗ;60;20170707;180000;8500;8500;8500;8500;1;0
СаратНПЗ;60;20170710;120000;8950;9200;8950;9200;3;0
СаратНПЗ;60;20170710;130000;8700;8950;8400;8950;4;0
СаратНПЗ;60;20170710;140000;9000;9000;9000;9000;1;0
СаратНПЗ;60;20170710;170000;8900;8900;8900;8900;1;0
СаратНПЗ;60;20170710;180000;8850;8850;8850;8850;1;0
СаратНПЗ;60;20170711;120000;9050;9050;9050;9050;3;0
СаратНПЗ;60;20170714;100000;9100;9400;9100;9350;5;0
СаратНПЗ;60;20170714;110000;9150;9200;9150;9150;3;0
СаратНПЗ;60;20170714;120000;9150;9150;9150;9150;1;0
СаратНПЗ;60;20170714;130000;9050;9050;9050;9050;1;0
СаратНПЗ;60;20170714;140000;8850;8850;8850;8850;1;0
СаратНПЗ;60;20170717;100000;9300;9500;9250;9500;14;0
СаратНПЗ;60;20170717;110000;9050;9050;9000;9000;2;0
СаратНПЗ;60;20170717;130000;9000;9050;9000;9050;3;0
СаратНПЗ;60;20170717;140000;9250;9250;9250;9250;1;0
СаратНПЗ;60;20170718;100000;9500;9500;9300;9300;3;0
СаратНПЗ;60;20170718;110000;9300;9300;9250;9250;3;0
СаратНПЗ;60;20170718;120000;9250;9250;9200;9200;2;0
СаратНПЗ;60;20170718;130000;9150;9150;9100;9100;2;0
СаратНПЗ;60;20170718;160000;9150;9150;9150;9150;1;0
СаратНПЗ;60;20170718;180000;9150;9150;9150;9150;2;0
СаратНПЗ;60;20170719;100000;9250;9300;9250;9300;2;0
СаратНПЗ;60;20170719;110000;9050;9050;9050;9050;2;0
СаратНПЗ;60;20170719;120000;9050;9050;9050;9050;2;0
СаратНПЗ;60;20170719;160000;9100;9100;9100;9100;2;0
СаратНПЗ;60;20170719;170000;9050;9050;9050;9050;1;0
СаратНПЗ;60;20170720;140000;9050;9050;9050;9050;1;0
СаратНПЗ;60;20170721;170000;9000;9000;9000;9000;2;0
СаратНПЗ;60;20170725;130000;9200;9200;9200;9200;2;0
СаратНПЗ;60;20170726;170000;9050;9050;8950;8950;3;0
СаратНПЗ;60;20170727;100000;8950;8950;8850;8850;6;0
СаратНПЗ;60;20170727;110000;8950;8950;8900;8900;7;0
СаратНПЗ;60;20170727;120000;8900;8900;8850;8850;10;0
СаратНПЗ;60;20170727;160000;9000;9000;9000;9000;6;0
СаратНПЗ;60;20170728;120000;8900;9000;8850;9000;9;0
СаратНПЗ;60;20170728;140000;9000;9000;9000;9000;4;0
СаратНПЗ;60;20170728;150000;9000;9000;9000;9000;6;0
СаратНПЗ;60;20170728;160000;8900;8900;8850;8850;4;0
СаратНПЗ;60;20170731;140000;9000;9000;9000;9000;2;0
СаратНПЗ;60;20170802;100000;9050;9050;9050;9050;1;0
СаратНПЗ;60;20170802;160000;9200;9350;9200;9300;8;0
СаратНПЗ;60;20170802;170000;9300;9300;9200;9200;6;0
СаратНПЗ;60;20170803;110000;9350;9500;9100;9500;6;0
СаратНПЗ;60;20170803;120000;9550;9600;9550;9600;4;0
СаратНПЗ;60;20170803;140000;9300;9300;9200;9200;2;0
СаратНПЗ;60;20170803;150000;9300;9300;9300;9300;1;0
СаратНПЗ;60;20170804;170000;9300;9300;9300;9300;7;0
СаратНПЗ;60;20170807;100000;9500;9500;9500;9500;1;0
СаратНПЗ;60;20170808;130000;9450;9450;9450;9450;1;0
СаратНПЗ;60;20170808;160000;9450;9450;9450;9450;1;0
СаратНПЗ;60;20170809;100000;9250;9250;9200;9200;3;0
СаратНПЗ;60;20170809;130000;9450;9650;9450;9600;7;0
СаратНПЗ;60;20170809;160000;9800;9800;9800;9800;1;0
СаратНПЗ;60;20170809;170000;9850;9850;9850;9850;1;0
СаратНПЗ;60;20170814;130000;9650;9650;9650;9650;1;0
СаратНПЗ;60;20170814;160000;9200;9200;9200;9200;33;0
СаратНПЗ;60;20170814;180000;9450;9450;9450;9450;1;0
СаратНПЗ;60;20170821;150000;9800;9800;9700;9700;6;0
СаратНПЗ;60;20170821;170000;9700;9700;9700;9700;2;0
СаратНПЗ;60;20170822;150000;9800;9800;9800;9800;3;0
СаратНПЗ;60;20170822;170000;9800;9800;9800;9800;1;0
СаратНПЗ;60;20170824;100000;10250;10250;10250;10250;2;0
СаратНПЗ;60;20170824;180000;9800;9800;9800;9800;4;0
СаратНПЗ;60;20170828;160000;10000;10000;10000;10000;1;0
СаратНПЗ;60;20170828;180000;9800;9800;9800;9800;1;0
СаратНПЗ;60;20170829;100000;9750;9750;9750;9750;1;0
СаратНПЗ;60;20170829;120000;9750;9750;9700;9700;2;0
СаратНПЗ;60;20170830;170000;9700;9700;9250;9250;3;0
СаратНПЗ;60;20170831;110000;9800;10500;9800;10500;5;0
СаратНПЗ;60;20170831;130000;9900;9900;9900;9900;1;0
СаратНПЗ;60;20170901;150000;9800;10000;9800;10000;201;0
СаратНПЗ;60;20170905;120000;10000;10000;10000;10000;1;0
СаратНПЗ;60;20170906;110000;9850;9850;9850;9850;1;0
СаратНПЗ;60;20170906;120000;9900;9900;9900;9900;10;0
СаратНПЗ;60;20170906;150000;10000;10000;10000;10000;3;0
СаратНПЗ;60;20170907;130000;9550;9550;9350;9350;3;0
СаратНПЗ;60;20170907;140000;9350;9350;9350;9350;22;0
СаратНПЗ;60;20170907;150000;9450;9800;9450;9600;40;0
СаратНПЗ;60;20170907;170000;9600;9600;9600;9600;1;0
СаратНПЗ;60;20170908;170000;9550;9550;9500;9500;3;0
СаратНПЗ;60;20170912;100000;9450;9450;9450;9450;10;0
СаратНПЗ;60;20170912;170000;9400;9400;9200;9200;50;0
СаратНПЗ;60;20170912;180000;9200;9400;9200;9400;21;0
СаратНПЗ;60;20170914;100000;9350;9350;9300;9300;68;0
СаратНПЗ;60;20170914;170000;9300;9300;9300;9300;5;0
СаратНПЗ;60;20170914;180000;9300;9300;9300;9300;7;0
СаратНПЗ;60;20170915;100000;9300;9300;9300;9300;8;0
СаратНПЗ;60;20170919;110000;9100;9100;9100;9100;2;0
СаратНПЗ;60;20170920;100000;9250;9250;9100;9100;13;0
СаратНПЗ;60;20170920;170000;9150;9150;9100;9100;10;0
СаратНПЗ;60;20170922;100000;9050;9050;9000;9000;5;0
СаратНПЗ;60;20170922;170000;9000;9000;9000;9000;4;0
СаратНПЗ;60;20170922;180000;9000;9000;9000;9000;6;0
