<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ПИФСтрИнв;60;20170213;110000;1000;1255;1000;1255;1001;0
ПИФСтрИнв;60;20170213;120000;1255;1255;1255;1255;5000;0
ПИФСтрИнв;60;20170213;150000;1255;1255;1255;1255;10115;0
ПИФСтрИнв;60;20170220;160000;1085;1085;1085;1085;58710;0
ПИФСтрИнв;60;20170321;150000;1250;1250;1250;1250;2;0
ПИФСтрИнв;60;20170504;170000;1100;1100;1100;1100;349000;0
ПИФСтрИнв;60;20170523;170000;1190;1190;1190;1190;39200;0
ПИФСтрИнв;60;20170621;170000;1190;1190;1190;1190;23565;0
ПИФСтрИнв;60;20170622;160000;1190;1190;1190;1190;18035;0
ПИФСтрИнв;60;20170830;100000;610;610;610;610;100;0
ПИФСтрИнв;60;20170830;110000;650;690;650;690;5;0
ПИФСтрИнв;60;20170905;100000;510;510;510;510;100;0
ПИФСтрИнв;60;20170905;130000;420;420;420;420;5;0
ПИФСтрИнв;60;20170906;120000;350;350;350;350;2;0
ПИФСтрИнв;60;20170906;130000;565;565;565;565;4;0
ПИФСтрИнв;60;20170906;140000;380;380;380;380;1;0
ПИФСтрИнв;60;20170906;160000;565;565;565;565;1;0
ПИФСтрИнв;60;20170906;180000;585;585;585;585;11;0
ПИФСтрИнв;60;20170907;110000;450;450;450;450;2;0
ПИФСтрИнв;60;20170908;170000;520;525;520;525;6;0
ПИФСтрИнв;60;20170908;180000;515;515;515;515;5;0
ПИФСтрИнв;60;20170911;120000;485;485;485;485;100;0
ПИФСтрИнв;60;20170912;160000;460;460;405;460;22;0
ПИФСтрИнв;60;20170912;180000;460;460;460;460;70;0
ПИФСтрИнв;60;20170914;120000;330;330;330;330;1;0
ПИФСтрИнв;60;20170914;140000;480;480;480;480;1;0
ПИФСтрИнв;60;20170915;100000;350;350;350;350;1;0
ПИФСтрИнв;60;20170918;100000;350;350;350;350;1;0
ПИФСтрИнв;60;20170919;160000;360;360;360;360;1;0
ПИФСтрИнв;60;20170920;110000;340;340;340;340;1;0
ПИФСтрИнв;60;20170921;140000;475;475;475;475;1;0
ПИФСтрИнв;60;20170921;150000;475;475;475;475;1;0
ПИФСтрИнв;60;20170922;100000;660;660;660;660;1;0
ПИФСтрИнв;60;20170922;140000;660;660;660;660;1;0
ПИФСтрИнв;60;20170925;120000;410;410;410;410;1;0
ПИФСтрИнв;60;20170925;180000;595;685;595;685;2;0
ПИФСтрИнв;60;20170926;100000;900;900;900;900;2;0
ПИФСтрИнв;60;20170926;110000;420;420;420;420;1;0
ПИФСтрИнв;60;20170926;180000;745;745;745;745;1;0
ПИФСтрИнв;60;20170927;170000;465;465;465;465;1;0
ПИФСтрИнв;60;20170927;180000;670;690;670;690;2;0
ПИФСтрИнв;60;20170928;130000;435;790;415;415;90;0
ПИФСтрИнв;60;20170928;140000;415;415;415;415;6;0
ПИФСтрИнв;60;20170928;170000;415;965;415;965;350;0
ПИФСтрИнв;60;20170929;100000;750;750;750;750;1;0
ПИФСтрИнв;60;20170929;120000;1190;1190;1190;1190;1;0
ПИФСтрИнв;60;20171009;130000;900;900;900;900;1;0
ПИФСтрИнв;60;20171019;110000;540;540;540;540;1;0
ПИФСтрИнв;60;20171019;180000;960;960;540;895;80;0
ПИФСтрИнв;60;20171023;100000;330;330;330;330;1;0
ПИФСтрИнв;60;20171023;150000;755;755;755;755;1;0
ПИФСтрИнв;60;20171024;160000;455;455;455;455;1;0
ПИФСтрИнв;60;20171024;170000;460;460;455;455;14;0
ПИФСтрИнв;60;20171024;180000;690;690;690;690;1;0
ПИФСтрИнв;60;20171025;100000;750;750;750;750;1;0
ПИФСтрИнв;60;20171026;110000;300;300;300;300;2;0
ПИФСтрИнв;60;20171026;180000;465;465;465;465;1;0
ПИФСтрИнв;60;20171027;140000;280;280;280;280;1;0
ПИФСтрИнв;60;20171030;150000;375;390;375;390;7;0
ПИФСтрИнв;60;20171031;100000;545;545;545;545;1;0
ПИФСтрИнв;60;20171031;110000;545;545;545;545;2;0
ПИФСтрИнв;60;20171031;140000;540;540;350;350;2;0
ПИФСтрИнв;60;20171031;160000;540;540;540;540;1;0
ПИФСтрИнв;60;20171102;100000;745;745;745;745;1;0
ПИФСтрИнв;60;20171103;100000;990;990;990;990;1;0
ПИФСтрИнв;60;20171103;110000;795;795;795;795;1;0
ПИФСтрИнв;60;20171107;100000;990;990;990;990;1;0
ПИФСтрИнв;60;20171110;140000;890;995;600;600;43013;0
ПИФСтрИнв;60;20171110;170000;895;895;895;895;1;0
ПИФСтрИнв;60;20171113;170000;980;980;980;980;1;0
ПИФСтрИнв;60;20171122;120000;600;600;600;600;1;0
ПИФСтрИнв;60;20171122;170000;795;795;795;795;1;0
