<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Омскшина;60;20170124;100000;440;440;440;440;1;0
Омскшина;60;20170124;130000;440;440;440;440;1;0
Омскшина;60;20170124;150000;446;457;446;457;11;0
Омскшина;60;20170126;110000;458;458;458;458;1;0
Омскшина;60;20170126;140000;461;461;444;444;13;0
Омскшина;60;20170131;140000;440;440;440;440;1;0
Омскшина;60;20170131;180000;445;445;445;445;1;0
Омскшина;60;20170201;130000;443;443;443;443;2;0
Омскшина;60;20170201;150000;442;442;442;442;1;0
Омскшина;60;20170201;170000;441;445;441;445;3;0
Омскшина;60;20170202;120000;445;447;426;426;26;0
Омскшина;60;20170202;130000;440;440;439;439;2;0
Омскшина;60;20170203;110000;445;448;445;448;4;0
Омскшина;60;20170203;120000;456;537;456;480;91;0
Омскшина;60;20170203;130000;481;510;480;500;104;0
Омскшина;60;20170203;140000;499;505;499;499;21;0
Омскшина;60;20170203;150000;495;604;494;604;105;0
Омскшина;60;20170203;160000;608;612;585;594;43;0
Омскшина;60;20170203;170000;590;611;589;611;15;0
Омскшина;60;20170203;180000;588;607;568;607;10;0
Омскшина;60;20170206;100000;557;562;510;536;29;0
Омскшина;60;20170206;110000;525;529;521;529;13;0
Омскшина;60;20170206;120000;544;544;544;544;1;0
Омскшина;60;20170206;130000;527;537;526;530;10;0
Омскшина;60;20170206;140000;524;535;521;522;29;0
Омскшина;60;20170206;150000;530;535;521;521;19;0
Омскшина;60;20170206;160000;526;533;526;533;4;0
Омскшина;60;20170206;170000;526;610;526;601;116;0
Омскшина;60;20170206;180000;601;601;601;601;13;0
Омскшина;60;20170207;100000;568;609;528;603;207;0
Омскшина;60;20170207;110000;603;645;603;645;491;0
Омскшина;60;20170207;120000;649;649;648;649;10;0
Омскшина;60;20170207;130000;572;600;557;600;4;0
Омскшина;60;20170208;100000;562;562;562;562;1;0
Омскшина;60;20170209;100000;561;566;561;566;3;0
Омскшина;60;20170209;130000;564;565;564;565;2;0
Омскшина;60;20170209;180000;568;599;568;599;8;0
Омскшина;60;20170210;100000;554;554;541;541;5;0
Омскшина;60;20170210;110000;549;561;549;556;5;0
Омскшина;60;20170210;130000;547;555;547;555;3;0
Омскшина;60;20170210;140000;548;554;540;541;6;0
Омскшина;60;20170213;110000;554;554;553;553;2;0
Омскшина;60;20170213;150000;553;553;553;553;1;0
Омскшина;60;20170213;180000;551;551;551;551;1;0
Омскшина;60;20170214;150000;541;541;535;535;2;0
Омскшина;60;20170214;170000;528;528;528;528;1;0
Омскшина;60;20170214;180000;518;518;517;517;2;0
Омскшина;60;20170215;110000;516;516;516;516;2;0
Омскшина;60;20170215;150000;529;529;529;529;1;0
Омскшина;60;20170217;120000;546;546;546;546;1;0
Омскшина;60;20170217;180000;515;515;515;515;1;0
Омскшина;60;20170220;100000;514;517;514;517;2;0
Омскшина;60;20170221;160000;513;513;513;513;1;0
Омскшина;60;20170222;100000;521;521;521;521;1;0
Омскшина;60;20170224;160000;511;511;497;498;6;0
Омскшина;60;20170227;110000;513;513;513;513;1;0
Омскшина;60;20170227;120000;504;504;504;504;2;0
Омскшина;60;20170227;130000;513;513;498;511;14;0
Омскшина;60;20170227;150000;491;524;491;524;4;0
Омскшина;60;20170227;160000;511;511;510;510;2;0
Омскшина;60;20170302;150000;503;503;503;503;1;0
Омскшина;60;20170302;160000;500;500;500;500;1;0
Омскшина;60;20170302;170000;489;489;489;489;1;0
Омскшина;60;20170310;100000;471;479;450;479;19;0
Омскшина;60;20170310;110000;472;474;472;474;2;0
Омскшина;60;20170310;120000;473;473;472;472;6;0
Омскшина;60;20170313;100000;453;460;453;460;12;0
Омскшина;60;20170314;140000;470;470;470;470;1;0
Омскшина;60;20170315;120000;464;464;464;464;1;0
Омскшина;60;20170316;120000;463;463;463;463;5;0
Омскшина;60;20170316;130000;463;463;463;463;2;0
Омскшина;60;20170316;140000;463;463;463;463;1;0
Омскшина;60;20170316;150000;463;463;463;463;1;0
Омскшина;60;20170316;170000;463;463;463;463;2;0
Омскшина;60;20170316;180000;463;463;463;463;1;0
Омскшина;60;20170317;100000;475;475;475;475;2;0
Омскшина;60;20170321;110000;467;467;467;467;1;0
Омскшина;60;20170323;150000;469;470;469;470;26;0
Омскшина;60;20170403;120000;470;470;470;470;31;0
Омскшина;60;20170405;180000;466;466;465;465;4;0
Омскшина;60;20170410;100000;465;465;465;465;1;0
Омскшина;60;20170410;120000;465;465;465;465;1;0
Омскшина;60;20170411;130000;465;465;465;465;5;0
Омскшина;60;20170412;150000;465;465;465;465;4;0
Омскшина;60;20170413;120000;465;465;465;465;10;0
Омскшина;60;20170413;170000;455;455;455;455;1;0
Омскшина;60;20170414;150000;472;472;472;472;1;0
Омскшина;60;20170417;140000;465;465;465;465;1;0
Омскшина;60;20170418;110000;470;470;470;470;2;0
Омскшина;60;20170419;100000;474;480;474;480;6;0
Омскшина;60;20170420;100000;476;476;476;476;1;0
Омскшина;60;20170421;100000;483;483;483;483;1;0
Омскшина;60;20170421;110000;484;518;484;499;12;0
Омскшина;60;20170424;100000;489;491;489;490;3;0
Омскшина;60;20170424;170000;497;497;497;497;1;0
Омскшина;60;20170425;120000;479;479;479;479;1;0
Омскшина;60;20170428;180000;490;490;490;490;1;0
Омскшина;60;20170502;120000;481;481;480;480;3;0
Омскшина;60;20170503;100000;460;460;460;460;1;0
Омскшина;60;20170503;180000;479;479;479;479;2;0
Омскшина;60;20170504;170000;470;470;470;470;1;0
Омскшина;60;20170504;180000;479;479;479;479;1;0
Омскшина;60;20170518;180000;472;472;472;472;1;0
Омскшина;60;20170529;100000;456;456;456;456;1;0
Омскшина;60;20170529;110000;463;464;463;464;2;0
Омскшина;60;20170529;120000;465;465;465;465;3;0
Омскшина;60;20170531;150000;480;485;480;485;4;0
Омскшина;60;20170531;160000;494;508;494;508;2;0
Омскшина;60;20170531;170000;491;491;491;491;1;0
Омскшина;60;20170601;100000;504;530;504;530;3;0
Омскшина;60;20170601;110000;541;542;533;542;11;0
Омскшина;60;20170601;140000;500;544;500;544;8;0
Омскшина;60;20170601;160000;501;501;501;501;1;0
Омскшина;60;20170602;100000;501;501;500;500;2;0
Омскшина;60;20170602;110000;473;499;472;499;5;0
Омскшина;60;20170605;100000;481;481;455;455;25;0
Омскшина;60;20170605;150000;473;473;473;473;1;0
Омскшина;60;20170607;130000;466;466;466;466;1;0
Омскшина;60;20170607;160000;471;471;470;470;3;0
Омскшина;60;20170615;140000;466;466;466;466;1;0
Омскшина;60;20170616;130000;476;476;476;476;5;0
Омскшина;60;20170623;160000;462;462;462;462;1;0
Омскшина;60;20170623;170000;462;462;462;462;3;0
Омскшина;60;20170623;180000;462;465;462;465;3;0
Омскшина;60;20170707;160000;465;465;465;465;1;0
Омскшина;60;20170710;120000;474;475;474;475;4;0
Омскшина;60;20170711;100000;468;468;468;468;1;0
Омскшина;60;20170712;180000;468;468;468;468;2;0
Омскшина;60;20170721;170000;471;471;470;470;2;0
Омскшина;60;20170724;180000;469;469;465;465;3;0
Омскшина;60;20170728;180000;476;476;476;476;4;0
Омскшина;60;20170802;160000;481;533;481;533;10;0
Омскшина;60;20170802;170000;507;507;496;496;2;0
Омскшина;60;20170803;120000;500;500;500;500;1;0
Омскшина;60;20170808;140000;513;513;513;513;1;0
Омскшина;60;20170809;100000;492;492;492;492;1;0
Омскшина;60;20170815;100000;485;485;455;455;2;0
Омскшина;60;20170816;110000;480;480;480;480;1;0
Омскшина;60;20170816;120000;488;488;488;488;1;0
Омскшина;60;20170821;100000;482;482;482;482;1;0
Омскшина;60;20170825;100000;483;483;483;483;2;0
Омскшина;60;20170825;120000;482;482;482;482;1;0
Омскшина;60;20170831;110000;475;475;465;465;2;0
Омскшина;60;20170831;120000;466;466;466;466;1;0
Омскшина;60;20170831;140000;485;486;485;486;2;0
Омскшина;60;20170831;170000;487;487;487;487;1;0
Омскшина;60;20170831;180000;488;488;488;488;1;0
Омскшина;60;20170905;170000;487;487;487;487;3;0
Омскшина;60;20170906;100000;478;478;478;478;1;0
Омскшина;60;20170908;110000;487;487;487;487;1;0
Омскшина;60;20170908;120000;498;555;498;555;33;0
Омскшина;60;20170908;130000;518;518;515;515;3;0
Омскшина;60;20170908;150000;506;506;506;506;1;0
Омскшина;60;20170911;150000;508;508;507;507;2;0
Омскшина;60;20170913;100000;503;503;503;503;2;0
Омскшина;60;20170913;110000;504;504;504;504;3;0
Омскшина;60;20170913;120000;504;504;504;504;2;0
Омскшина;60;20170914;100000;506;506;497;497;3;0
Омскшина;60;20170914;120000;493;493;491;491;2;0
Омскшина;60;20170915;100000;499;499;499;499;1;0
Омскшина;60;20170921;100000;501;501;480;482;18;0
Омскшина;60;20170921;110000;483;483;483;483;2;0
Омскшина;60;20170921;120000;483;483;483;483;1;0
Омскшина;60;20170922;100000;511;511;511;511;1;0
Омскшина;60;20170922;110000;500;500;500;500;30;0
Омскшина;60;20170925;100000;492;492;490;490;4;0
Омскшина;60;20170925;130000;490;490;490;490;2;0
Омскшина;60;20170925;140000;490;490;490;490;1;0
Омскшина;60;20170925;180000;489;489;489;489;1;0
Омскшина;60;20170926;120000;489;490;489;490;5;0
Омскшина;60;20170926;130000;490;490;490;490;3;0
Омскшина;60;20170926;140000;490;490;490;490;2;0
