<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
СамарЭн-ао;60;20170124;100000;0.293;0.294;0.289;0.294;7;0
СамарЭн-ао;60;20170124;110000;0.29;0.29;0.285;0.285;89;0
СамарЭн-ао;60;20170124;150000;0.286;0.286;0.286;0.286;12;0
СамарЭн-ао;60;20170124;160000;0.286;0.29;0.286;0.29;23;0
СамарЭн-ао;60;20170124;170000;0.29;0.294;0.29;0.294;506;0
СамарЭн-ао;60;20170125;100000;0.294;0.3;0.294;0.3;45;0
СамарЭн-ао;60;20170125;110000;0.291;0.293;0.275;0.285;1245;0
СамарЭн-ао;60;20170125;120000;0.282;0.282;0.275;0.276;1062;0
СамарЭн-ао;60;20170125;130000;0.28;0.285;0.28;0.285;24;0
СамарЭн-ао;60;20170125;140000;0.28;0.28;0.28;0.28;32;0
СамарЭн-ао;60;20170125;150000;0.284;0.288;0.284;0.288;21;0
СамарЭн-ао;60;20170125;170000;0.286;0.288;0.286;0.288;100;0
СамарЭн-ао;60;20170125;180000;0.285;0.289;0.285;0.289;4;0
СамарЭн-ао;60;20170126;100000;0.285;0.285;0.28;0.28;19;0
СамарЭн-ао;60;20170126;120000;0.284;0.289;0.284;0.289;2;0
СамарЭн-ао;60;20170126;170000;0.29;0.292;0.29;0.292;64;0
СамарЭн-ао;60;20170126;180000;0.293;0.293;0.293;0.293;9;0
СамарЭн-ао;60;20170127;100000;0.29;0.29;0.29;0.29;42;0
СамарЭн-ао;60;20170127;110000;0.294;0.294;0.294;0.294;1;0
СамарЭн-ао;60;20170127;130000;0.293;0.305;0.293;0.3;611;0
СамарЭн-ао;60;20170127;140000;0.305;0.305;0.3;0.3;9;0
СамарЭн-ао;60;20170127;150000;0.3;0.305;0.3;0.3;26;0
СамарЭн-ао;60;20170127;160000;0.3;0.301;0.3;0.301;9;0
СамарЭн-ао;60;20170127;170000;0.304;0.304;0.29;0.292;229;0
СамарЭн-ао;60;20170127;180000;0.294;0.294;0.294;0.294;1;0
СамарЭн-ао;60;20170130;120000;0.301;0.301;0.301;0.301;5;0
СамарЭн-ао;60;20170130;130000;0.296;0.296;0.293;0.293;5;0
СамарЭн-ао;60;20170130;170000;0.295;0.295;0.294;0.294;3;0
СамарЭн-ао;60;20170131;110000;0.298;0.299;0.298;0.299;3;0
СамарЭн-ао;60;20170131;130000;0.296;0.3;0.296;0.299;67;0
СамарЭн-ао;60;20170201;100000;0.299;0.299;0.299;0.299;1;0
СамарЭн-ао;60;20170201;120000;0.3;0.3;0.3;0.3;49;0
СамарЭн-ао;60;20170201;130000;0.3;0.3;0.3;0.3;1;0
СамарЭн-ао;60;20170201;170000;0.303;0.31;0.303;0.309;131;0
СамарЭн-ао;60;20170201;180000;0.308;0.308;0.305;0.307;38;0
СамарЭн-ао;60;20170202;110000;0.309;0.31;0.307;0.309;61;0
СамарЭн-ао;60;20170202;120000;0.307;0.307;0.307;0.307;3;0
СамарЭн-ао;60;20170202;130000;0.308;0.308;0.308;0.308;1;0
СамарЭн-ао;60;20170202;150000;0.308;0.309;0.308;0.308;31;0
СамарЭн-ао;60;20170202;160000;0.308;0.308;0.308;0.308;56;0
СамарЭн-ао;60;20170202;180000;0.308;0.308;0.308;0.308;11;0
СамарЭн-ао;60;20170203;120000;0.308;0.31;0.308;0.31;10;0
СамарЭн-ао;60;20170203;130000;0.31;0.31;0.308;0.308;6;0
СамарЭн-ао;60;20170203;140000;0.31;0.311;0.31;0.311;88;0
СамарЭн-ао;60;20170203;150000;0.318;0.318;0.318;0.318;1;0
СамарЭн-ао;60;20170203;160000;0.318;0.318;0.318;0.318;10;0
СамарЭн-ао;60;20170203;170000;0.31;0.311;0.31;0.31;61;0
СамарЭн-ао;60;20170203;180000;0.31;0.31;0.31;0.31;50;0
СамарЭн-ао;60;20170206;100000;0.294;0.294;0.294;0.294;2;0
СамарЭн-ао;60;20170206;110000;0.297;0.297;0.297;0.297;1;0
СамарЭн-ао;60;20170206;120000;0.296;0.298;0.296;0.298;13;0
СамарЭн-ао;60;20170206;130000;0.296;0.296;0.291;0.291;36;0
СамарЭн-ао;60;20170206;150000;0.293;0.31;0.291;0.297;56;0
СамарЭн-ао;60;20170207;110000;0.303;0.308;0.303;0.308;16;0
СамарЭн-ао;60;20170207;120000;0.3;0.3;0.29;0.296;45;0
СамарЭн-ао;60;20170207;130000;0.295;0.295;0.295;0.295;1;0
СамарЭн-ао;60;20170207;140000;0.295;0.295;0.29;0.29;16;0
СамарЭн-ао;60;20170207;150000;0.294;0.294;0.29;0.29;4;0
СамарЭн-ао;60;20170207;160000;0.292;0.292;0.292;0.292;1;0
СамарЭн-ао;60;20170207;170000;0.294;0.295;0.291;0.291;97;0
СамарЭн-ао;60;20170207;180000;0.293;0.293;0.293;0.293;1;0
СамарЭн-ао;60;20170208;100000;0.296;0.297;0.296;0.296;33;0
СамарЭн-ао;60;20170208;110000;0.296;0.296;0.296;0.296;1;0
СамарЭн-ао;60;20170208;140000;0.296;0.296;0.296;0.296;105;0
СамарЭн-ао;60;20170208;160000;0.296;0.301;0.296;0.301;147;0
СамарЭн-ао;60;20170208;170000;0.299;0.299;0.299;0.299;30;0
СамарЭн-ао;60;20170208;180000;0.299;0.299;0.296;0.296;34;0
СамарЭн-ао;60;20170209;110000;0.3;0.3;0.3;0.3;20;0
СамарЭн-ао;60;20170209;130000;0.3;0.301;0.3;0.301;33;0
СамарЭн-ао;60;20170209;150000;0.299;0.299;0.299;0.299;5;0
СамарЭн-ао;60;20170209;160000;0.299;0.3;0.297;0.297;61;0
СамарЭн-ао;60;20170210;110000;0.295;0.295;0.295;0.295;5;0
СамарЭн-ао;60;20170210;120000;0.291;0.297;0.291;0.297;9;0
СамарЭн-ао;60;20170210;130000;0.298;0.31;0.298;0.302;179;0
СамарЭн-ао;60;20170210;140000;0.302;0.302;0.302;0.302;1;0
СамарЭн-ао;60;20170210;150000;0.303;0.31;0.303;0.31;18;0
СамарЭн-ао;60;20170210;160000;0.304;0.304;0.303;0.303;6;0
СамарЭн-ао;60;20170210;170000;0.307;0.311;0.307;0.311;14;0
СамарЭн-ао;60;20170210;180000;0.312;0.321;0.312;0.321;111;0
СамарЭн-ао;60;20170213;100000;0.31;0.31;0.307;0.307;6;0
СамарЭн-ао;60;20170213;110000;0.316;0.316;0.316;0.316;2;0
СамарЭн-ао;60;20170213;170000;0.311;0.311;0.308;0.308;6;0
СамарЭн-ао;60;20170213;180000;0.306;0.306;0.3;0.3;14;0
СамарЭн-ао;60;20170214;100000;0.299;0.301;0.299;0.301;5;0
СамарЭн-ао;60;20170214;110000;0.31;0.31;0.302;0.302;2;0
СамарЭн-ао;60;20170214;150000;0.302;0.302;0.301;0.301;6;0
СамарЭн-ао;60;20170214;160000;0.301;0.301;0.3;0.3;2;0
СамарЭн-ао;60;20170214;170000;0.3;0.3;0.285;0.299;66;0
СамарЭн-ао;60;20170214;180000;0.299;0.299;0.299;0.299;1;0
СамарЭн-ао;60;20170215;090000;0.295;0.295;0.295;0.295;98;0
СамарЭн-ао;60;20170215;100000;0.293;0.313;0.293;0.302;271;0
СамарЭн-ао;60;20170215;110000;0.3;0.3;0.285;0.296;46;0
СамарЭн-ао;60;20170215;120000;0.296;0.296;0.296;0.296;3;0
СамарЭн-ао;60;20170215;130000;0.296;0.3;0.296;0.3;110;0
СамарЭн-ао;60;20170215;170000;0.299;0.3;0.299;0.3;4;0
СамарЭн-ао;60;20170215;180000;0.301;0.319;0.3;0.305;60;0
СамарЭн-ао;60;20170216;100000;0.304;0.307;0.304;0.306;10;0
СамарЭн-ао;60;20170216;110000;0.307;0.317;0.307;0.317;4;0
СамарЭн-ао;60;20170216;120000;0.304;0.304;0.303;0.303;4;0
СамарЭн-ао;60;20170216;140000;0.303;0.303;0.302;0.302;4;0
СамарЭн-ао;60;20170216;150000;0.302;0.302;0.296;0.302;9;0
СамарЭн-ао;60;20170216;160000;0.302;0.304;0.302;0.304;4;0
СамарЭн-ао;60;20170216;170000;0.305;0.305;0.302;0.302;2;0
СамарЭн-ао;60;20170216;180000;0.302;0.302;0.302;0.302;2;0
СамарЭн-ао;60;20170217;100000;0.301;0.303;0.301;0.301;57;0
СамарЭн-ао;60;20170217;120000;0.302;0.302;0.301;0.301;51;0
СамарЭн-ао;60;20170217;140000;0.302;0.31;0.302;0.31;47;0
СамарЭн-ао;60;20170217;160000;0.303;0.303;0.303;0.303;2;0
СамарЭн-ао;60;20170217;170000;0.302;0.302;0.301;0.301;3;0
СамарЭн-ао;60;20170220;100000;0.301;0.301;0.301;0.301;1;0
СамарЭн-ао;60;20170220;110000;0.302;0.311;0.302;0.311;12;0
СамарЭн-ао;60;20170220;130000;0.315;0.316;0.315;0.316;31;0
СамарЭн-ао;60;20170220;140000;0.317;0.317;0.317;0.317;2;0
СамарЭн-ао;60;20170220;150000;0.315;0.315;0.315;0.315;2;0
СамарЭн-ао;60;20170220;160000;0.315;0.315;0.315;0.315;1;0
СамарЭн-ао;60;20170220;170000;0.313;0.313;0.31;0.31;20;0
СамарЭн-ао;60;20170220;180000;0.311;0.311;0.31;0.31;82;0
СамарЭн-ао;60;20170221;100000;0.312;0.312;0.307;0.307;6;0
СамарЭн-ао;60;20170221;160000;0.304;0.304;0.3;0.3;86;0
СамарЭн-ао;60;20170221;170000;0.3;0.304;0.3;0.304;15;0
СамарЭн-ао;60;20170222;100000;0.305;0.312;0.3;0.3;7;0
СамарЭн-ао;60;20170222;110000;0.301;0.301;0.301;0.301;1;0
СамарЭн-ао;60;20170222;170000;0.297;0.297;0.293;0.293;40;0
СамарЭн-ао;60;20170222;180000;0.292;0.292;0.291;0.291;30;0
СамарЭн-ао;60;20170224;100000;0.29;0.29;0.29;0.29;39;0
СамарЭн-ао;60;20170224;110000;0.289;0.29;0.289;0.29;18;0
СамарЭн-ао;60;20170224;160000;0.289;0.289;0.288;0.288;2;0
СамарЭн-ао;60;20170224;180000;0.287;0.287;0.285;0.285;3;0
СамарЭн-ао;60;20170227;090000;0.299;0.299;0.299;0.299;2;0
СамарЭн-ао;60;20170227;100000;0.298;0.298;0.291;0.291;9;0
СамарЭн-ао;60;20170227;120000;0.29;0.29;0.29;0.29;1;0
СамарЭн-ао;60;20170227;130000;0.29;0.29;0.29;0.29;2;0
СамарЭн-ао;60;20170227;140000;0.289;0.289;0.286;0.286;7;0
СамарЭн-ао;60;20170227;180000;0.285;0.285;0.284;0.284;53;0
СамарЭн-ао;60;20170228;100000;0.287;0.287;0.28;0.28;43;0
СамарЭн-ао;60;20170228;110000;0.274;0.274;0.271;0.274;57;0
СамарЭн-ао;60;20170228;140000;0.275;0.275;0.273;0.273;6;0
СамарЭн-ао;60;20170228;160000;0.275;0.275;0.273;0.273;4;0
СамарЭн-ао;60;20170228;170000;0.276;0.28;0.276;0.28;307;0
СамарЭн-ао;60;20170228;180000;0.276;0.276;0.273;0.273;11;0
СамарЭн-ао;60;20170301;110000;0.28;0.28;0.28;0.28;4;0
СамарЭн-ао;60;20170301;120000;0.28;0.29;0.28;0.29;8;0
СамарЭн-ао;60;20170301;150000;0.285;0.285;0.285;0.285;6;0
СамарЭн-ао;60;20170302;110000;0.288;0.288;0.288;0.288;1;0
СамарЭн-ао;60;20170302;120000;0.288;0.288;0.288;0.288;4;0
СамарЭн-ао;60;20170302;150000;0.287;0.287;0.286;0.286;4;0
СамарЭн-ао;60;20170302;170000;0.286;0.286;0.285;0.285;52;0
СамарЭн-ао;60;20170303;100000;0.283;0.283;0.28;0.28;6;0
СамарЭн-ао;60;20170306;100000;0.275;0.283;0.275;0.283;27;0
СамарЭн-ао;60;20170306;130000;0.276;0.276;0.263;0.27;284;0
СамарЭн-ао;60;20170306;140000;0.272;0.279;0.272;0.279;6;0
СамарЭн-ао;60;20170306;180000;0.275;0.275;0.267;0.272;12;0
СамарЭн-ао;60;20170307;140000;0.267;0.267;0.267;0.267;4;0
СамарЭн-ао;60;20170307;170000;0.27;0.27;0.27;0.27;1;0
СамарЭн-ао;60;20170307;180000;0.267;0.267;0.266;0.266;6;0
СамарЭн-ао;60;20170309;100000;0.274;0.274;0.274;0.274;52;0
СамарЭн-ао;60;20170309;120000;0.265;0.265;0.265;0.265;1;0
СамарЭн-ао;60;20170309;130000;0.257;0.257;0.256;0.256;4;0
СамарЭн-ао;60;20170309;150000;0.266;0.267;0.266;0.267;10;0
СамарЭн-ао;60;20170309;160000;0.267;0.267;0.267;0.267;10;0
СамарЭн-ао;60;20170309;170000;0.257;0.257;0.25;0.25;45;0
СамарЭн-ао;60;20170309;180000;0.251;0.251;0.251;0.251;2;0
СамарЭн-ао;60;20170310;110000;0.249;0.252;0.247;0.251;15;0
СамарЭн-ао;60;20170310;160000;0.252;0.252;0.251;0.251;4;0
СамарЭн-ао;60;20170310;170000;0.251;0.339;0.251;0.328;494;0
СамарЭн-ао;60;20170310;180000;0.319;0.325;0.312;0.323;88;0
СамарЭн-ао;60;20170313;090000;0.331;0.331;0.331;0.331;9;0
СамарЭн-ао;60;20170313;100000;0.345;0.397;0.345;0.364;1621;0
СамарЭн-ао;60;20170313;110000;0.361;0.369;0.35;0.35;221;0
СамарЭн-ао;60;20170313;120000;0.35;0.363;0.35;0.352;63;0
СамарЭн-ао;60;20170313;130000;0.351;0.369;0.35;0.369;127;0
СамарЭн-ао;60;20170313;140000;0.368;0.368;0.35;0.35;18;0
СамарЭн-ао;60;20170313;150000;0.346;0.346;0.34;0.343;113;0
СамарЭн-ао;60;20170313;160000;0.342;0.342;0.34;0.341;26;0
СамарЭн-ао;60;20170313;170000;0.352;0.352;0.34;0.34;99;0
СамарЭн-ао;60;20170313;180000;0.34;0.35;0.34;0.341;89;0
СамарЭн-ао;60;20170314;100000;0.358;0.358;0.335;0.336;61;0
СамарЭн-ао;60;20170314;110000;0.337;0.358;0.33;0.33;472;0
СамарЭн-ао;60;20170314;120000;0.335;0.337;0.331;0.332;20;0
СамарЭн-ао;60;20170314;130000;0.332;0.337;0.331;0.336;16;0
СамарЭн-ао;60;20170314;140000;0.336;0.336;0.332;0.332;5;0
СамарЭн-ао;60;20170314;150000;0.332;0.332;0.332;0.332;3;0
СамарЭн-ао;60;20170314;160000;0.336;0.336;0.332;0.336;9;0
СамарЭн-ао;60;20170314;170000;0.333;0.345;0.333;0.336;228;0
СамарЭн-ао;60;20170314;180000;0.336;0.339;0.336;0.339;96;0
СамарЭн-ао;60;20170315;090000;0.339;0.339;0.339;0.339;24;0
СамарЭн-ао;60;20170315;120000;0.331;0.331;0.331;0.331;4;0
СамарЭн-ао;60;20170315;130000;0.331;0.331;0.331;0.331;15;0
СамарЭн-ао;60;20170315;160000;0.331;0.331;0.331;0.331;2;0
СамарЭн-ао;60;20170315;170000;0.331;0.331;0.331;0.331;1;0
СамарЭн-ао;60;20170315;180000;0.331;0.331;0.331;0.331;1;0
СамарЭн-ао;60;20170316;100000;0.337;0.338;0.337;0.338;3;0
СамарЭн-ао;60;20170316;110000;0.34;0.34;0.34;0.34;1;0
СамарЭн-ао;60;20170316;180000;0.331;0.331;0.331;0.331;2;0
СамарЭн-ао;60;20170317;120000;0.332;0.332;0.33;0.33;6;0
СамарЭн-ао;60;20170317;130000;0.33;0.33;0.329;0.33;101;0
СамарЭн-ао;60;20170317;140000;0.332;0.332;0.33;0.33;53;0
СамарЭн-ао;60;20170317;180000;0.33;0.33;0.33;0.33;4;0
СамарЭн-ао;60;20170321;110000;0.334;0.335;0.334;0.335;11;0
СамарЭн-ао;60;20170321;130000;0.333;0.333;0.33;0.33;10;0
СамарЭн-ао;60;20170321;160000;0.333;0.333;0.331;0.331;3;0
СамарЭн-ао;60;20170322;130000;0.348;0.348;0.348;0.348;2;0
СамарЭн-ао;60;20170322;180000;0.339;0.34;0.339;0.34;72;0
СамарЭн-ао;60;20170323;120000;0.334;0.334;0.334;0.334;2;0
СамарЭн-ао;60;20170323;160000;0.335;0.335;0.334;0.334;21;0
СамарЭн-ао;60;20170324;130000;0.331;0.331;0.331;0.331;10;0
СамарЭн-ао;60;20170324;140000;0.334;0.339;0.334;0.339;26;0
СамарЭн-ао;60;20170324;150000;0.34;0.34;0.34;0.34;23;0
СамарЭн-ао;60;20170324;160000;0.345;0.348;0.345;0.346;17;0
СамарЭн-ао;60;20170324;170000;0.346;0.346;0.346;0.346;5;0
СамарЭн-ао;60;20170327;110000;0.338;0.338;0.338;0.338;1;0
СамарЭн-ао;60;20170327;120000;0.344;0.344;0.344;0.344;20;0
СамарЭн-ао;60;20170327;140000;0.343;0.361;0.343;0.36;48;0
СамарЭн-ао;60;20170327;150000;0.364;0.365;0.364;0.365;13;0
СамарЭн-ао;60;20170327;160000;0.351;0.351;0.351;0.351;1;0
СамарЭн-ао;60;20170328;090000;0.316;0.316;0.316;0.316;6;0
СамарЭн-ао;60;20170328;100000;0.288;0.288;0.275;0.279;2877;0
СамарЭн-ао;60;20170328;110000;0.278;0.28;0.278;0.279;43;0
СамарЭн-ао;60;20170328;120000;0.278;0.279;0.278;0.279;373;0
СамарЭн-ао;60;20170328;130000;0.279;0.279;0.278;0.278;49;0
СамарЭн-ао;60;20170328;140000;0.278;0.278;0.276;0.276;250;0
СамарЭн-ао;60;20170328;150000;0.278;0.278;0.275;0.277;625;0
