<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ЧЦЗ ао;60;20170124;100000;666;667;666;666;13;0
ЧЦЗ ао;60;20170124;110000;665;665;665;665;1;0
ЧЦЗ ао;60;20170124;120000;665;665;665;665;4;0
ЧЦЗ ао;60;20170124;130000;666;666;666;666;159;0
ЧЦЗ ао;60;20170124;140000;666;666;666;666;46;0
ЧЦЗ ао;60;20170124;170000;665;665;665;665;3;0
ЧЦЗ ао;60;20170124;180000;665;665;664;664;10;0
ЧЦЗ ао;60;20170125;100000;665;665;665;665;1;0
ЧЦЗ ао;60;20170125;130000;666;666;666;666;1;0
ЧЦЗ ао;60;20170125;150000;665;665;665;665;2;0
ЧЦЗ ао;60;20170125;160000;666;666;666;666;5;0
ЧЦЗ ао;60;20170125;180000;666;666;666;666;1;0
ЧЦЗ ао;60;20170126;100000;669;669;666;666;4;0
ЧЦЗ ао;60;20170126;110000;666;666;665;665;4;0
ЧЦЗ ао;60;20170126;130000;665;665;665;665;72;0
ЧЦЗ ао;60;20170126;150000;665;665;665;665;4;0
ЧЦЗ ао;60;20170126;170000;665;667;665;667;33;0
ЧЦЗ ао;60;20170127;100000;665;665;665;665;25;0
ЧЦЗ ао;60;20170127;130000;665;665;665;665;110;0
ЧЦЗ ао;60;20170127;140000;667;667;667;667;1;0
ЧЦЗ ао;60;20170127;150000;667;667;667;667;3;0
ЧЦЗ ао;60;20170127;180000;665;665;665;665;10;0
ЧЦЗ ао;60;20170130;100000;669;669;668;668;17;0
ЧЦЗ ао;60;20170130;110000;667;667;667;667;4;0
ЧЦЗ ао;60;20170130;130000;667;667;667;667;6;0
ЧЦЗ ао;60;20170130;140000;667;667;667;667;1;0
ЧЦЗ ао;60;20170130;150000;668;668;668;668;1;0
ЧЦЗ ао;60;20170130;170000;667;667;666;666;2;0
ЧЦЗ ао;60;20170131;100000;666;666;666;666;33;0
ЧЦЗ ао;60;20170131;110000;668;668;668;668;1;0
ЧЦЗ ао;60;20170131;120000;666;666;665;665;6;0
ЧЦЗ ао;60;20170131;150000;668;668;668;668;2;0
ЧЦЗ ао;60;20170131;170000;665;665;665;665;1;0
ЧЦЗ ао;60;20170201;130000;667;667;667;667;484;0
ЧЦЗ ао;60;20170201;140000;668;668;668;668;3081;0
ЧЦЗ ао;60;20170201;160000;668;668;667;667;131;0
ЧЦЗ ао;60;20170201;170000;667;667;667;667;1;0
ЧЦЗ ао;60;20170202;100000;667;667;667;667;2;0
ЧЦЗ ао;60;20170202;110000;668;669;668;668;1497;0
ЧЦЗ ао;60;20170202;120000;667;667;667;667;1;0
ЧЦЗ ао;60;20170202;130000;667;667;667;667;1;0
ЧЦЗ ао;60;20170202;150000;667;667;666;666;12;0
ЧЦЗ ао;60;20170206;100000;669;669;667;667;35;0
ЧЦЗ ао;60;20170206;120000;669;669;669;669;24;0
ЧЦЗ ао;60;20170207;100000;669;669;669;669;4;0
ЧЦЗ ао;60;20170207;110000;669;669;669;669;500;0
ЧЦЗ ао;60;20170207;120000;669;669;669;669;1;0
ЧЦЗ ао;60;20170207;130000;670;670;670;670;2;0
ЧЦЗ ао;60;20170208;120000;669;669;669;669;800;0
ЧЦЗ ао;60;20170209;110000;670;670;670;670;66;0
ЧЦЗ ао;60;20170209;120000;670;670;670;670;52;0
ЧЦЗ ао;60;20170210;100000;670;670;670;670;10;0
ЧЦЗ ао;60;20170210;110000;670;670;670;670;420;0
ЧЦЗ ао;60;20170210;150000;670;670;670;670;1;0
ЧЦЗ ао;60;20170213;100000;672;672;671;671;81;0
ЧЦЗ ао;60;20170213;120000;671;671;671;671;6;0
ЧЦЗ ао;60;20170213;180000;672;672;672;672;526;0
ЧЦЗ ао;60;20170214;130000;673;673;673;673;441;0
ЧЦЗ ао;60;20170214;140000;672;672;672;672;1;0
ЧЦЗ ао;60;20170215;100000;671;673;671;673;305;0
ЧЦЗ ао;60;20170215;110000;672;674;671;674;34;0
ЧЦЗ ао;60;20170215;120000;674;674;674;674;34;0
ЧЦЗ ао;60;20170215;150000;674;674;674;674;3;0
ЧЦЗ ао;60;20170215;170000;673;673;673;673;1;0
ЧЦЗ ао;60;20170216;160000;673;673;672;672;30;0
ЧЦЗ ао;60;20170216;170000;673;673;673;673;342;0
ЧЦЗ ао;60;20170217;110000;673;673;673;673;100;0
ЧЦЗ ао;60;20170217;120000;673;673;673;673;53;0
ЧЦЗ ао;60;20170217;150000;673;673;673;673;255;0
ЧЦЗ ао;60;20170217;180000;673;673;673;673;50;0
ЧЦЗ ао;60;20170220;100000;672;672;672;672;4;0
ЧЦЗ ао;60;20170220;110000;673;673;673;673;1;0
ЧЦЗ ао;60;20170220;120000;672;672;672;672;200;0
ЧЦЗ ао;60;20170220;130000;672;672;672;672;77;0
ЧЦЗ ао;60;20170220;140000;673;673;673;673;540;0
ЧЦЗ ао;60;20170220;150000;673;673;673;673;8;0
ЧЦЗ ао;60;20170220;180000;673;673;673;673;165;0
ЧЦЗ ао;60;20170221;110000;674;674;674;674;395;0
ЧЦЗ ао;60;20170221;130000;674;674;673;673;8;0
ЧЦЗ ао;60;20170221;150000;673;673;673;673;23;0
ЧЦЗ ао;60;20170221;160000;674;674;674;674;8;0
ЧЦЗ ао;60;20170221;180000;675;676;675;676;33;0
ЧЦЗ ао;60;20170222;100000;674;675;674;675;193;0
ЧЦЗ ао;60;20170222;110000;676;676;675;675;504;0
ЧЦЗ ао;60;20170222;160000;677;677;676;676;15;0
ЧЦЗ ао;60;20170222;180000;676;676;676;676;30;0
ЧЦЗ ао;60;20170224;100000;677;679;677;677;41;0
ЧЦЗ ао;60;20170224;140000;675;675;673;675;293;0
ЧЦЗ ао;60;20170224;150000;674;674;674;674;2;0
ЧЦЗ ао;60;20170224;160000;674;674;674;674;4;0
ЧЦЗ ао;60;20170224;180000;674;674;674;674;24;0
ЧЦЗ ао;60;20170227;100000;676;676;676;676;1;0
ЧЦЗ ао;60;20170227;110000;676;676;676;676;1;0
ЧЦЗ ао;60;20170227;140000;676;676;676;676;7;0
ЧЦЗ ао;60;20170227;150000;676;676;676;676;6;0
ЧЦЗ ао;60;20170227;170000;676;676;676;676;50;0
ЧЦЗ ао;60;20170227;180000;676;676;676;676;53;0
ЧЦЗ ао;60;20170228;100000;676;676;676;676;207;0
ЧЦЗ ао;60;20170228;120000;676;677;676;677;423;0
ЧЦЗ ао;60;20170228;130000;677;677;676;676;6;0
ЧЦЗ ао;60;20170228;150000;675;675;675;675;1;0
ЧЦЗ ао;60;20170228;180000;675;675;675;675;20;0
ЧЦЗ ао;60;20170301;120000;676;676;675;675;21;0
ЧЦЗ ао;60;20170301;140000;675;675;675;675;59;0
ЧЦЗ ао;60;20170301;150000;675;675;675;675;6;0
ЧЦЗ ао;60;20170302;130000;634;640;600;630;26;0
ЧЦЗ ао;60;20170302;140000;625;625;625;625;1;0
ЧЦЗ ао;60;20170302;160000;625;625;611;611;7;0
ЧЦЗ ао;60;20170302;180000;620;620;600;601;48;0
ЧЦЗ ао;60;20170303;120000;600;600;567;570;57;0
ЧЦЗ ао;60;20170303;130000;570;572;570;571;15;0
ЧЦЗ ао;60;20170303;140000;571;571;571;571;2;0
ЧЦЗ ао;60;20170303;170000;580;580;580;580;1;0
ЧЦЗ ао;60;20170303;180000;574;580;574;580;4;0
ЧЦЗ ао;60;20170306;100000;607;607;607;607;1;0
ЧЦЗ ао;60;20170306;180000;590;590;590;590;1;0
ЧЦЗ ао;60;20170307;130000;581;581;581;581;4;0
ЧЦЗ ао;60;20170307;180000;581;581;581;581;1;0
ЧЦЗ ао;60;20170309;110000;582;582;581;581;8;0
ЧЦЗ ао;60;20170309;130000;582;582;582;582;1;0
ЧЦЗ ао;60;20170309;160000;589;589;582;582;18;0
ЧЦЗ ао;60;20170310;110000;621;621;621;621;1;0
ЧЦЗ ао;60;20170310;140000;538;538;530;530;10;0
ЧЦЗ ао;60;20170310;170000;551;551;550;550;4;0
ЧЦЗ ао;60;20170310;180000;545;545;538;543;3;0
ЧЦЗ ао;60;20170313;120000;514;544;514;530;4;0
ЧЦЗ ао;60;20170313;130000;521;521;521;521;2;0
ЧЦЗ ао;60;20170313;140000;523;523;522;522;5;0
ЧЦЗ ао;60;20170313;160000;525;525;525;525;1;0
ЧЦЗ ао;60;20170313;180000;523;523;523;523;1;0
ЧЦЗ ао;60;20170314;170000;525;525;525;525;2;0
ЧЦЗ ао;60;20170314;180000;525;533;525;533;18;0
ЧЦЗ ао;60;20170315;100000;638;638;638;638;6;0
ЧЦЗ ао;60;20170315;110000;548;555;548;552;13;0
ЧЦЗ ао;60;20170315;120000;546;546;525;540;41;0
ЧЦЗ ао;60;20170317;160000;556;556;550;550;4;0
ЧЦЗ ао;60;20170320;170000;565;565;560;560;42;0
ЧЦЗ ао;60;20170321;150000;560;560;560;560;1;0
ЧЦЗ ао;60;20170322;110000;523;549;522;549;9;0
ЧЦЗ ао;60;20170322;120000;589;589;589;589;1;0
ЧЦЗ ао;60;20170322;160000;558;558;558;558;6;0
ЧЦЗ ао;60;20170323;180000;580;580;578;578;3;0
ЧЦЗ ао;60;20170327;120000;567;567;567;567;2;0
ЧЦЗ ао;60;20170327;150000;567;567;550;550;5;0
ЧЦЗ ао;60;20170327;160000;549;549;522;522;37;0
ЧЦЗ ао;60;20170327;170000;523;523;522;522;5;0
ЧЦЗ ао;60;20170327;180000;530;556;530;556;7;0
ЧЦЗ ао;60;20170328;140000;533;533;530;530;5;0
ЧЦЗ ао;60;20170328;180000;543;552;543;552;9;0
ЧЦЗ ао;60;20170329;110000;536;536;536;536;1;0
ЧЦЗ ао;60;20170330;130000;527;527;527;527;1;0
ЧЦЗ ао;60;20170330;150000;529;529;528;528;3;0
ЧЦЗ ао;60;20170330;180000;529;529;529;529;1;0
ЧЦЗ ао;60;20170331;140000;549;600;549;600;15;0
ЧЦЗ ао;60;20170331;160000;560;560;560;560;1;0
ЧЦЗ ао;60;20170403;120000;540;540;540;540;2;0
ЧЦЗ ао;60;20170404;130000;570;570;570;570;1;0
ЧЦЗ ао;60;20170404;180000;565;565;561;561;4;0
ЧЦЗ ао;60;20170406;160000;547;560;547;560;3;0
ЧЦЗ ао;60;20170410;110000;580;580;580;580;1;0
ЧЦЗ ао;60;20170410;150000;550;550;550;550;1;0
ЧЦЗ ао;60;20170412;180000;549;550;549;550;2;0
ЧЦЗ ао;60;20170414;110000;550;550;548;548;2;0
ЧЦЗ ао;60;20170419;180000;525;540;525;531;3;0
ЧЦЗ ао;60;20170420;100000;508;508;500;500;4;0
ЧЦЗ ао;60;20170420;110000;530;530;530;530;1;0
ЧЦЗ ао;60;20170421;100000;501;501;500;500;10;0
ЧЦЗ ао;60;20170421;160000;529;529;529;529;2;0
ЧЦЗ ао;60;20170421;180000;522;522;522;522;1;0
ЧЦЗ ао;60;20170425;110000;524;524;524;524;1;0
ЧЦЗ ао;60;20170426;170000;512;512;512;512;1;0
ЧЦЗ ао;60;20170426;180000;523;534;523;534;4;0
ЧЦЗ ао;60;20170427;100000;542;542;542;542;1;0
ЧЦЗ ао;60;20170427;140000;528;528;521;521;8;0
ЧЦЗ ао;60;20170427;150000;520;520;520;520;73;0
ЧЦЗ ао;60;20170427;160000;520;520;520;520;20;0
ЧЦЗ ао;60;20170428;130000;522;522;521;521;2;0
ЧЦЗ ао;60;20170428;160000;535;535;535;535;1;0
ЧЦЗ ао;60;20170428;170000;521;521;521;521;2;0
ЧЦЗ ао;60;20170504;150000;512;512;512;512;1;0
ЧЦЗ ао;60;20170510;130000;534;534;534;534;1;0
ЧЦЗ ао;60;20170515;110000;507;507;507;507;1;0
ЧЦЗ ао;60;20170516;110000;535;535;535;535;1;0
ЧЦЗ ао;60;20170517;100000;514;514;514;514;1;0
ЧЦЗ ао;60;20170517;120000;511;511;500;500;122;0
ЧЦЗ ао;60;20170517;160000;507;518;507;518;10;0
ЧЦЗ ао;60;20170517;180000;516;516;516;516;1;0
ЧЦЗ ао;60;20170519;140000;502;502;499;500;11;0
ЧЦЗ ао;60;20170522;150000;498;498;498;498;1;0
ЧЦЗ ао;60;20170524;130000;512;512;512;512;1;0
ЧЦЗ ао;60;20170526;100000;453;500;453;492;5;0
ЧЦЗ ао;60;20170531;150000;480;490;480;490;2;0
ЧЦЗ ао;60;20170531;180000;480;480;480;480;2;0
ЧЦЗ ао;60;20170607;170000;463;463;463;463;1;0
ЧЦЗ ао;60;20170608;120000;463;463;463;463;1;0
ЧЦЗ ао;60;20170608;130000;476;501;476;501;9;0
ЧЦЗ ао;60;20170608;180000;501;501;501;501;1;0
ЧЦЗ ао;60;20170609;160000;534;534;534;534;1;0
ЧЦЗ ао;60;20170614;160000;477;493;465;490;14;0
ЧЦЗ ао;60;20170615;180000;540;540;540;540;1;0
ЧЦЗ ао;60;20170616;170000;480;480;480;480;2;0
ЧЦЗ ао;60;20170619;160000;497;500;497;500;6;0
ЧЦЗ ао;60;20170620;160000;485;485;250;410;160;0
ЧЦЗ ао;60;20170620;170000;410;430;402;430;76;0
ЧЦЗ ао;60;20170621;160000;403;428;400;400;6;0
ЧЦЗ ао;60;20170621;170000;400;410;400;410;2;0
ЧЦЗ ао;60;20170621;180000;409;409;409;409;2;0
ЧЦЗ ао;60;20170622;180000;419;419;410;410;2;0
ЧЦЗ ао;60;20170623;110000;418;419;418;419;2;0
ЧЦЗ ао;60;20170623;140000;444;444;444;444;7;0
ЧЦЗ ао;60;20170623;150000;444;444;435;435;133;0
ЧЦЗ ао;60;20170623;170000;435;435;435;435;2;0
ЧЦЗ ао;60;20170626;100000;479;500;479;500;100;0
ЧЦЗ ао;60;20170626;110000;495;500;494;500;101;0
ЧЦЗ ао;60;20170626;140000;516;516;516;516;1;0
ЧЦЗ ао;60;20170626;160000;509;529;509;529;28;0
ЧЦЗ ао;60;20170627;100000;529;529;529;529;2;0
ЧЦЗ ао;60;20170627;110000;529;585;518;529;23;0
ЧЦЗ ао;60;20170627;130000;503;510;503;510;2;0
ЧЦЗ ао;60;20170627;160000;523;523;523;523;1;0
ЧЦЗ ао;60;20170627;180000;506;506;506;506;10;0
ЧЦЗ ао;60;20170628;100000;554;554;499;499;11;0
ЧЦЗ ао;60;20170628;110000;502;502;502;502;1;0
ЧЦЗ ао;60;20170628;160000;502;502;502;502;2;0
ЧЦЗ ао;60;20170703;160000;490;490;490;490;5;0
ЧЦЗ ао;60;20170706;110000;505;505;505;505;1;0
ЧЦЗ ао;60;20170712;100000;559;559;559;559;1;0
ЧЦЗ ао;60;20170717;140000;487;487;487;487;41;0
ЧЦЗ ао;60;20170717;150000;498;498;498;498;1;0
ЧЦЗ ао;60;20170718;120000;515;515;500;510;4;0
ЧЦЗ ао;60;20170720;110000;500;500;500;500;2;0
ЧЦЗ ао;60;20170720;160000;508;508;505;505;10;0
ЧЦЗ ао;60;20170720;170000;505;505;505;505;1;0
ЧЦЗ ао;60;20170720;180000;509;509;509;509;1;0
ЧЦЗ ао;60;20170725;170000;503;503;500;500;18;0
ЧЦЗ ао;60;20170728;170000;493;493;493;493;6;0
ЧЦЗ ао;60;20170728;180000;502;506;502;506;18;0
ЧЦЗ ао;60;20170731;100000;482;491;481;481;4;0
ЧЦЗ ао;60;20170731;150000;507;507;507;507;1;0
ЧЦЗ ао;60;20170801;110000;504;504;500;500;2;0
ЧЦЗ ао;60;20170801;170000;502;502;502;502;1;0
ЧЦЗ ао;60;20170801;180000;501;501;501;501;1;0
ЧЦЗ ао;60;20170803;130000;477;477;477;477;1;0
ЧЦЗ ао;60;20170803;160000;500;501;500;501;2;0
ЧЦЗ ао;60;20170804;110000;485;485;485;485;1;0
ЧЦЗ ао;60;20170804;130000;503;503;503;503;6;0
ЧЦЗ ао;60;20170807;100000;469;469;469;469;1;0
ЧЦЗ ао;60;20170807;110000;490;490;490;490;1;0
ЧЦЗ ао;60;20170807;150000;489;490;489;490;2;0
ЧЦЗ ао;60;20170807;160000;505;505;500;500;2;0
ЧЦЗ ао;60;20170807;180000;512;512;512;512;1;0
ЧЦЗ ао;60;20170809;120000;536;536;536;536;1;0
ЧЦЗ ао;60;20170810;140000;525;525;525;525;1;0
ЧЦЗ ао;60;20170810;150000;485;490;405;490;278;0
ЧЦЗ ао;60;20170810;160000;480;490;480;490;6;0
ЧЦЗ ао;60;20170810;170000;490;491;483;484;13;0
ЧЦЗ ао;60;20170811;100000;495;495;495;495;1;0
ЧЦЗ ао;60;20170811;160000;489;489;489;489;2;0
ЧЦЗ ао;60;20170811;170000;490;498;490;498;13;0
ЧЦЗ ао;60;20170814;140000;497;497;497;497;2;0
ЧЦЗ ао;60;20170814;180000;499;499;499;499;1;0
ЧЦЗ ао;60;20170815;110000;503;503;503;503;1;0
ЧЦЗ ао;60;20170817;090000;455;455;455;455;1;0
ЧЦЗ ао;60;20170817;180000;517;517;517;517;1;0
ЧЦЗ ао;60;20170818;090000;523;523;523;523;1;0
ЧЦЗ ао;60;20170818;100000;548;548;505;506;7;0
ЧЦЗ ао;60;20170818;110000;490;490;470;470;3;0
